"OPENSECRETS.INDUSTRY","YEAR","STATE","FIRST","LAST","DISTRICT","CANDIDATE","PARTY","AMOUNT","INDUSTRYPERCENT","CANDTOTAL","INCUMBENT","VOTES","PERCENT","PRIMARY.INDUSTRY","SECONDARY.INDUSTRY1","SECONDARY.INDUSTRY2","SECONDARY.INDUSTRY3","WINNER","indrank","TotalRaceFunds","RaceFundPerc","X","Sector","AdjClose","Group","YrPercentChange","RelYear"
"Commercial Banks",2008,"SD","STEPHANIE","SANDLIN","1","STEPHANIE HERSETH SANDLIN","D",109320,0.1303287307374,838802,1,256041,0.6756,"Financials","","","",1,3,1139317,0.736232321645337,54,"Financials",3368.140109,"Values0910b",50.7751611207871,"2008"
"Railroads",2008,"SD","STEPHANIE","SANDLIN","1","STEPHANIE HERSETH SANDLIN","D",24400,0.0290891056531,838802,1,256041,0.6756,"Industrials","","","",1,8,1139317,0.736232321645337,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Commercial Banks",2008,"SD","CHRIS","LIEN","1","CHRIS LIEN","R",25600,0.0851870954861,300515,0,122966,0.3244,"Financials","","","",0,4,1139317,0.263767678354663,54,"Financials",3368.140109,"Values0910b",50.7751611207871,"2008"
"Electric Utilities",2008,"SD","STEPHANIE","SANDLIN","1","STEPHANIE HERSETH SANDLIN","D",38873,0.0463434755759,838802,1,256041,0.6756,"Utilities","","","",1,5,1139317,0.736232321645337,60,"Utilities",868.722424,"Values0910b",20.2021137168348,"2008"
"Oil & Gas",2008,"SD","CHRIS","LIEN","1","CHRIS LIEN","R",11550,0.0384340215963,300515,0,122966,0.3244,"Energy","","","",0,6,1139317,0.263767678354663,53,"Energy",1891.171767,"Values0910b",75.2135392458047,"2008"
"Beer, Wine & Liquor",2008,"SD","CHRIS","LIEN","1","CHRIS LIEN","R",6850,0.0227942032844,300515,0,122966,0.3244,"Consumer Staples","","","",0,8,1139317,0.263767678354663,52,"Consumer Staples",1276.894906,"Values0910b",41.7387671770374,"2008"
"Hospitals/Nursing Homes",2008,"SD","STEPHANIE","SANDLIN","1","STEPHANIE HERSETH SANDLIN","D",32689,0.0389710563399,838802,1,256041,0.6756,"Health Care","","","",1,6,1139317,0.736232321645337,55,"Health Care",2407.059799,"Values0910b",53.6358425321062,"2008"
"Misc Services",2008,"SD","CHRIS","LIEN","1","CHRIS LIEN","R",8300,0.0276192536146,300515,0,122966,0.3244,"Industrials","","","",0,7,1139317,0.263767678354663,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Commercial Banks",2008,"TN","PHIL","ROE","1","PHIL ROE","R",18800,0.0542729873527,346397,0,168343,0.7182,"Financials","","","",1,4,347747,0.996117867300077,54,"Financials",3368.140109,"Values0910b",50.7751611207871,"2008"
"Agricultural Services/Products",2008,"TN","PHIL","ROE","1","PHIL ROE","R",15050,0.0434472584924,346397,0,168343,0.7182,"Consumer Staples","","","",1,7,347747,0.996117867300077,52,"Consumer Staples",1276.894906,"Values0910b",41.7387671770374,"2008"
"Misc Health",2008,"TN","PHIL","ROE","1","PHIL ROE","R",3800,0.0109700719117,346397,0,168343,0.7182,"Health Care","","","",1,9,347747,0.996117867300077,55,"Health Care",2407.059799,"Values0910b",53.6358425321062,"2008"
"Oil & Gas",2008,"TN","PHIL","ROE","1","PHIL ROE","R",18300,0.052829556838,346397,0,168343,0.7182,"Energy","","","",1,5,347747,0.996117867300077,53,"Energy",1891.171767,"Values0910b",75.2135392458047,"2008"
"Building Materials & Equipment",2008,"TN","PHIL","ROE","1","PHIL ROE","R",20032,0.0578296001409,346397,0,168343,0.7182,"Materials","Industrials","","",1,3,347747,0.996117867300077,58,"Materials",1292.213892,"Values0910b",55.1354439841035,"2008"
"Construction Services",2008,"TN","PHIL","ROE","1","PHIL ROE","R",7000,0.0202080272058,346397,0,168343,0.7182,"Industrials","","","",1,8,347747,0.996117867300077,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Building Materials & Equipment",2008,"TN","JOHN","DUNCAN","2","JOHN J DUNCAN JR","R",31000,0.073662024375,420841,1,227120,0.7811,"Materials","Industrials","","",1,4,420841,1,58,"Materials",1292.213892,"Values0910b",55.1354439841035,"2008"
"Commercial Banks",2008,"TN","JOHN","DUNCAN","2","JOHN J DUNCAN JR","R",29250,0.0695036842893,420841,1,227120,0.7811,"Financials","","","",1,5,420841,1,54,"Financials",3368.140109,"Values0910b",50.7751611207871,"2008"
"Hospitals/Nursing Homes",2008,"TN","ZACH","WAMP","3","ZACH WAMP","R",17150,0.0252510008378,679181,1,184964,0.6937,"Health Care","","","",1,9,679181,1,55,"Health Care",2407.059799,"Values0910b",53.6358425321062,"2008"
"Electric Utilities",2008,"TN","ZACH","WAMP","3","ZACH WAMP","R",47820,0.0704083300328,679181,1,184964,0.6937,"Utilities","","","",1,4,679181,1,60,"Utilities",868.722424,"Values0910b",20.2021137168348,"2008"
"Crop Production & Basic Processing",2008,"TN","ZACH","WAMP","3","ZACH WAMP","R",33450,0.0492504943454,679181,1,184964,0.6937,"Consumer Staples","","","",1,6,679181,1,52,"Consumer Staples",1276.894906,"Values0910b",41.7387671770374,"2008"
"Misc Energy",2008,"TN","ZACH","WAMP","3","ZACH WAMP","R",45800,0.0674341596717,679181,1,184964,0.6937,"Energy","","","",1,5,679181,1,53,"Energy",1891.171767,"Values0910b",75.2135392458047,"2008"
"Construction Services",2008,"TN","ZACH","WAMP","3","ZACH WAMP","R",29703,0.0437335555618,679181,1,184964,0.6937,"Industrials","","","",1,7,679181,1,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Chemical & Related Manufacturing",2008,"TN","ZACH","WAMP","3","ZACH WAMP","R",22950,0.0337906979141,679181,1,184964,0.6937,"Materials","","","",1,8,679181,1,58,"Materials",1292.213892,"Values0910b",55.1354439841035,"2008"
"Agricultural Services/Products",2008,"TN","LINCOLN","DAVIS","4","LINCOLN DAVIS","D",84592,0.1321475380897,640133,1,146776,0.5876,"Consumer Staples","","","",1,4,839578,0.762446133652859,52,"Consumer Staples",1276.894906,"Values0910b",41.7387671770374,"2008"
"Telephone Utilities",2008,"TN","LINCOLN","DAVIS","4","LINCOLN DAVIS","D",20500,0.0320245948889,640133,1,146776,0.5876,"Telecommunication Services","","","",1,5,839578,0.762446133652859,59,"Telecommunication Services",104.162058,"Values0910b",48.6155909399014,"2008"
"Food & Beverage",2008,"TN","MONTY","LANKFORD","4","MONTY JOE LANKFORD","R",6600,0.0330918298278,199445,0,94447,0.3781,"Consumer Staples","","","",0,7,839578,0.237553866347141,52,"Consumer Staples",1276.894906,"Values0910b",41.7387671770374,"2008"
"Home Builders",2008,"TN","MONTY","LANKFORD","4","MONTY JOE LANKFORD","R",6350,0.0318383514252,199445,0,94447,0.3781,"Industrials","","","",0,8,839578,0.237553866347141,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Building Materials & Equipment",2008,"TN","MONTY","LANKFORD","4","MONTY JOE LANKFORD","R",7250,0.0363508736745,199445,0,94447,0.3781,"Materials","Industrials","","",0,6,839578,0.237553866347141,58,"Materials",1292.213892,"Values0910b",55.1354439841035,"2008"
"Air Transport",2008,"TN","JIM","COOPER","5","JIM COOPER","D",42500,0.1080737444373,393250,1,181467,0.6584,"Industrials","","","",1,4,398099,0.987819612709401,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Hospitals/Nursing Homes",2008,"TN","JIM","COOPER","5","JIM COOPER","D",14675,0.0373172282263,393250,1,181467,0.6584,"Health Care","","","",1,6,398099,0.987819612709401,55,"Health Care",2407.059799,"Values0910b",53.6358425321062,"2008"
"Building Materials & Equipment",2008,"TN","JIM","COOPER","5","JIM COOPER","D",14000,0.0356007628735,393250,1,181467,0.6584,"Materials","Industrials","","",1,7,398099,0.987819612709401,58,"Materials",1292.213892,"Values0910b",55.1354439841035,"2008"
"Beer, Wine & Liquor",2008,"TN","JIM","COOPER","5","JIM COOPER","D",11400,0.0289891926256,393250,1,181467,0.6584,"Consumer Staples","","","",1,8,398099,0.987819612709401,52,"Consumer Staples",1276.894906,"Values0910b",41.7387671770374,"2008"
"Insurance",2008,"TN","BART","GORDON","6","BART GORDON","D",61506,0.0580944608793,1058724,1,194264,0.7442,"Financials","","","",1,6,1058724,1,54,"Financials",3368.140109,"Values0910b",50.7751611207871,"2008"
"Hospitals/Nursing Homes",2008,"TN","BART","GORDON","6","BART GORDON","D",123848,0.1169785515394,1058724,1,194264,0.7442,"Health Care","","","",1,3,1058724,1,55,"Health Care",2407.059799,"Values0910b",53.6358425321062,"2008"
"Oil & Gas",2008,"TN","BART","GORDON","6","BART GORDON","D",29250,0.0276275969941,1058724,1,194264,0.7442,"Energy","","","",1,8,1058724,1,53,"Energy",1891.171767,"Values0910b",75.2135392458047,"2008"
"Defense Aerospace",2008,"TN","BART","GORDON","6","BART GORDON","D",25750,0.0243217306871,1058724,1,194264,0.7442,"Industrials","","","",1,10,1058724,1,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Electric Utilities",2008,"TN","BART","GORDON","6","BART GORDON","D",97872,0.0924433563422,1058724,1,194264,0.7442,"Utilities","","","",1,5,1058724,1,60,"Utilities",868.722424,"Values0910b",20.2021137168348,"2008"
"Telecom Services & Equipment",2008,"TN","BART","GORDON","6","BART GORDON","D",59097,0.0558190803269,1058724,1,194264,0.7442,"Telecommunication Services","","","",1,7,1058724,1,59,"Telecommunication Services",104.162058,"Values0910b",48.6155909399014,"2008"
"Chemical & Related Manufacturing",2008,"TN","BART","GORDON","6","BART GORDON","D",27000,0.0255023972253,1058724,1,194264,0.7442,"Materials","","","",1,9,1058724,1,58,"Materials",1292.213892,"Values0910b",55.1354439841035,"2008"
"Beer, Wine & Liquor",2008,"TN","MARSHA","BLACKBURN","7","MARSHA BLACKBURN","R",34800,0.0486067462812,715950,1,217332,0.6858,"Consumer Staples","","","",1,7,715950,1,52,"Consumer Staples",1276.894906,"Values0910b",41.7387671770374,"2008"
"Telephone Utilities",2008,"TN","MARSHA","BLACKBURN","7","MARSHA BLACKBURN","R",25000,0.0349186395698,715950,1,217332,0.6858,"Telecommunication Services","","","",1,8,715950,1,59,"Telecommunication Services",104.162058,"Values0910b",48.6155909399014,"2008"
"Oil & Gas",2008,"TN","MARSHA","BLACKBURN","7","MARSHA BLACKBURN","R",57926,0.0809078846288,715950,1,217332,0.6858,"Energy","","","",1,6,715950,1,53,"Energy",1891.171767,"Values0910b",75.2135392458047,"2008"
"Pharmaceuticals/Health Products",2008,"TN","MARSHA","BLACKBURN","7","MARSHA BLACKBURN","R",59450,0.083036524897,715950,1,217332,0.6858,"Health Care","","","",1,5,715950,1,55,"Health Care",2407.059799,"Values0910b",53.6358425321062,"2008"
"Air Transport",2008,"TN","MARSHA","BLACKBURN","7","MARSHA BLACKBURN","R",15750,0.021998742929,715950,1,217332,0.6858,"Industrials","","","",1,9,715950,1,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Beer, Wine & Liquor",2008,"TN","STEVE","COHEN","9","STEVE COHEN","D",44200,0.0559891973784,789438,1,198798,0.8785,"Consumer Staples","","","",1,5,799954,0.986854244119037,52,"Consumer Staples",1276.894906,"Values0910b",41.7387671770374,"2008"
"Misc Finance",2008,"TN","STEVE","COHEN","9","STEVE COHEN","D",55600,0.0704298500959,789438,1,198798,0.8785,"Financials","","","",1,4,799954,0.986854244119037,54,"Financials",3368.140109,"Values0910b",50.7751611207871,"2008"
"Air Transport",2008,"TN","STEVE","COHEN","9","STEVE COHEN","D",38300,0.0485155262351,789438,1,198798,0.8785,"Industrials","","","",1,6,799954,0.986854244119037,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Oil & Gas",2008,"TX","LOUIS","GOHMERT","1","LOUIS B GOHMERT JR","R",53550,0.0968083087019,553155,1,189012,0.8758,"Energy","","","",1,4,553155,1,53,"Energy",1891.171767,"Values0910b",75.2135392458047,"2008"
"Electric Utilities",2008,"TX","LOUIS","GOHMERT","1","LOUIS B GOHMERT JR","R",10500,0.0189820213141,553155,1,189012,0.8758,"Utilities","","","",1,9,553155,1,60,"Utilities",868.722424,"Values0910b",20.2021137168348,"2008"
"Construction Services",2008,"TX","LOUIS","GOHMERT","1","LOUIS B GOHMERT JR","R",22600,0.0408565411141,553155,1,189012,0.8758,"Industrials","","","",1,7,553155,1,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Telephone Utilities",2008,"TX","LOUIS","GOHMERT","1","LOUIS B GOHMERT JR","R",9000,0.0162703039835,553155,1,189012,0.8758,"Telecommunication Services","","","",1,10,553155,1,59,"Telecommunication Services",104.162058,"Values0910b",48.6155909399014,"2008"
"Building Materials & Equipment",2008,"TX","LOUIS","GOHMERT","1","LOUIS B GOHMERT JR","R",32650,0.0590250472291,553155,1,189012,0.8758,"Materials","Industrials","","",1,6,553155,1,58,"Materials",1292.213892,"Values0910b",55.1354439841035,"2008"
"Food Processing & Sales",2008,"TX","LOUIS","GOHMERT","1","LOUIS B GOHMERT JR","R",15850,0.0286538131265,553155,1,189012,0.8758,"Consumer Staples","","","",1,8,553155,1,52,"Consumer Staples",1276.894906,"Values0910b",41.7387671770374,"2008"
"Misc Business",2008,"TX","LARRY","DOHERTY","10","LARRY JOE DOHERTY","D",10650,0.0128372025747,829620,0,143719,0.4315,"Materials","Consumer Discretionary","Consumer Staples","Industrials",0,3,1780251,0.466012938624947,58,"Materials",1292.213892,"Values0910b",55.1354439841035,"2008"
"Oil & Gas",2008,"TX","MICHAEL","MCCAUL","10","MICHAEL MCCAUL","R",76084,0.0806349562985,943561,1,179493,0.5389,"Energy","","","",1,5,1780251,0.530015711267681,53,"Energy",1891.171767,"Values0910b",75.2135392458047,"2008"
"Air Transport",2008,"TX","MICHAEL","MCCAUL","10","MICHAEL MCCAUL","R",71650,0.0759357370642,943561,1,179493,0.5389,"Industrials","","","",1,6,1780251,0.530015711267681,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Beer, Wine & Liquor",2008,"TX","MICHAEL","MCCAUL","10","MICHAEL MCCAUL","R",33375,0.0353713220449,943561,1,179493,0.5389,"Consumer Staples","","","",1,7,1780251,0.530015711267681,52,"Consumer Staples",1276.894906,"Values0910b",41.7387671770374,"2008"
"Home Builders",2008,"TX","LARRY","DOHERTY","10","LARRY JOE DOHERTY","D",9200,0.0110894144307,829620,0,143719,0.4315,"Industrials","","","",0,5,1780251,0.466012938624947,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Electric Utilities",2008,"TX","LARRY","DOHERTY","10","LARRY JOE DOHERTY","D",5350,0.00644873556568,829620,0,143719,0.4315,"Utilities","","","",0,8,1780251,0.466012938624947,60,"Utilities",868.722424,"Values0910b",20.2021137168348,"2008"
"Oil & Gas",2008,"TX","LARRY","DOHERTY","10","LARRY JOE DOHERTY","D",7000,0.0084375979364,829620,0,143719,0.4315,"Energy","","","",0,6,1780251,0.466012938624947,53,"Energy",1891.171767,"Values0910b",75.2135392458047,"2008"
"Accountants",2008,"TX","LARRY","DOHERTY","10","LARRY JOE DOHERTY","D",9350,0.0112702201008,829620,0,143719,0.4315,"Financials","","","",0,4,1780251,0.466012938624947,54,"Financials",3368.140109,"Values0910b",50.7751611207871,"2008"
"Defense Aerospace",2008,"TX","MIKE","CONAWAY","11","MIKE CONAWAY","R",22300,0.0296391598428,752383,1,189625,0.8833,"Industrials","","","",1,8,752383,1,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Telephone Utilities",2008,"TX","MIKE","CONAWAY","11","MIKE CONAWAY","R",16000,0.0212657649096,752383,1,189625,0.8833,"Telecommunication Services","","","",1,9,752383,1,59,"Telecommunication Services",104.162058,"Values0910b",48.6155909399014,"2008"
"Electric Utilities",2008,"TX","MIKE","CONAWAY","11","MIKE CONAWAY","R",23000,0.0305695370576,752383,1,189625,0.8833,"Utilities","","","",1,7,752383,1,60,"Utilities",868.722424,"Values0910b",20.2021137168348,"2008"
"Accountants",2008,"TX","MIKE","CONAWAY","11","MIKE CONAWAY","R",94539,0.1256527592995,752383,1,189625,0.8833,"Financials","","","",1,5,752383,1,54,"Financials",3368.140109,"Values0910b",50.7751611207871,"2008"
"Accountants",2008,"TX","KAY","GRANGER","12","KAY GRANGER","R",98225,0.1098765266377,893958,1,181662,0.6759,"Financials","","","",1,4,902058,0.991020533047764,54,"Financials",3368.140109,"Values0910b",50.7751611207871,"2008"
"Pharmaceuticals/Health Products",2008,"TX","KAY","GRANGER","12","KAY GRANGER","R",26700,0.029867174968,893958,1,181662,0.6759,"Health Care","","","",1,8,902058,0.991020533047764,55,"Health Care",2407.059799,"Values0910b",53.6358425321062,"2008"
"Electric Utilities",2008,"TX","KAY","GRANGER","12","KAY GRANGER","R",29000,0.0324400027742,893958,1,181662,0.6759,"Utilities","","","",1,7,902058,0.991020533047764,60,"Utilities",868.722424,"Values0910b",20.2021137168348,"2008"
"Beer, Wine & Liquor",2008,"TX","KAY","GRANGER","12","KAY GRANGER","R",25000,0.0279655196329,893958,1,181662,0.6759,"Consumer Staples","","","",1,9,902058,0.991020533047764,52,"Consumer Staples",1276.894906,"Values0910b",41.7387671770374,"2008"
"Agricultural Services/Products",2008,"TX","MAC","THORNBERRY","13","MAC THORNBERRY","R",42250,0.0795864893222,530869,1,180078,0.7765,"Consumer Staples","","","",1,6,533569,0.994939736004153,52,"Consumer Staples",1276.894906,"Values0910b",41.7387671770374,"2008"
"Electric Utilities",2008,"TX","MAC","THORNBERRY","13","MAC THORNBERRY","R",10000,0.0188370388928,530869,1,180078,0.7765,"Utilities","","","",1,8,533569,0.994939736004153,60,"Utilities",868.722424,"Values0910b",20.2021137168348,"2008"
"Telephone Utilities",2008,"TX","MAC","THORNBERRY","13","MAC THORNBERRY","R",10000,0.0188370388928,530869,1,180078,0.7765,"Telecommunication Services","","","",1,9,533569,0.994939736004153,59,"Telecommunication Services",104.162058,"Values0910b",48.6155909399014,"2008"
"Defense Aerospace",2008,"TX","MAC","THORNBERRY","13","MAC THORNBERRY","R",44500,0.0838248230731,530869,1,180078,0.7765,"Industrials","","","",1,5,533569,0.994939736004153,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Oil & Gas",2008,"TX","RUBEN","HINOJOSA","15","RUBEN HINOJOSA","D",14500,0.0325951102839,444852,1,107578,0.6571,"Energy","","","",1,8,448702,0.991419695031446,53,"Energy",1891.171767,"Values0910b",75.2135392458047,"2008"
"Beer, Wine & Liquor",2008,"TX","RUBEN","HINOJOSA","15","RUBEN HINOJOSA","D",9500,0.0213554170825,444852,1,107578,0.6571,"Consumer Staples","","","",1,9,448702,0.991419695031446,52,"Consumer Staples",1276.894906,"Values0910b",41.7387671770374,"2008"
"Telephone Utilities",2008,"TX","RUBEN","HINOJOSA","15","RUBEN HINOJOSA","D",17000,0.0382149568845,444852,1,107578,0.6571,"Telecommunication Services","","","",1,6,448702,0.991419695031446,59,"Telecommunication Services",104.162058,"Values0910b",48.6155909399014,"2008"
"Home Builders",2008,"TX","RUBEN","HINOJOSA","15","RUBEN HINOJOSA","D",14900,0.03349428574,444852,1,107578,0.6571,"Industrials","","","",1,7,448702,0.991419695031446,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Hospitals/Nursing Homes",2008,"TX","RUBEN","HINOJOSA","15","RUBEN HINOJOSA","D",20300,0.0456331543974,444852,1,107578,0.6571,"Health Care","","","",1,5,448702,0.991419695031446,55,"Health Care",2407.059799,"Values0910b",53.6358425321062,"2008"
"Securities & Investment",2008,"TX","EDDIE","ZAMORA","15","EDDIE ZAMORA","R",250,0.0649350649351,3850,0,52303,0.3195,"Financials","","","",0,4,448702,0.00858030496855374,54,"Financials",3368.140109,"Values0910b",50.7751611207871,"2008"
"Beer, Wine & Liquor",2008,"TX","SILVESTRE","REYES","16","SILVESTRE REYES","D",16700,0.0237046205557,704504,1,130375,0.8214,"Consumer Staples","","","",1,6,704504,1,52,"Consumer Staples",1276.894906,"Values0910b",41.7387671770374,"2008"
"Misc Finance",2008,"TX","SILVESTRE","REYES","16","SILVESTRE REYES","D",14900,0.0211496315138,704504,1,130375,0.8214,"Financials","","","",1,7,704504,1,54,"Financials",3368.140109,"Values0910b",50.7751611207871,"2008"
"Oil & Gas",2008,"TX","SILVESTRE","REYES","16","SILVESTRE REYES","D",28200,0.040028161657,704504,1,130375,0.8214,"Energy","","","",1,5,704504,1,53,"Energy",1891.171767,"Values0910b",75.2135392458047,"2008"
"Accountants",2008,"TX","ROB","CURNOCK","17","ROB CURNOCK","R",4050,0.0682277628033,59360,0,115581,0.455,"Financials","","","",0,5,1356831,0.0437490004282037,54,"Financials",3368.140109,"Values0910b",50.7751611207871,"2008"
"Commercial Banks",2008,"TX","CHET","EDWARDS","17","CHET EDWARDS","D",93775,0.0722752184827,1297471,1,134592,0.5298,"Financials","","","",1,3,1356831,0.956250999571796,54,"Financials",3368.140109,"Values0910b",50.7751611207871,"2008"
"Oil & Gas",2008,"TX","CHET","EDWARDS","17","CHET EDWARDS","D",91550,0.0705603439306,1297471,1,134592,0.5298,"Energy","","","",1,4,1356831,0.956250999571796,53,"Energy",1891.171767,"Values0910b",75.2135392458047,"2008"
"Health Services/HMOs",2008,"TX","ROB","CURNOCK","17","ROB CURNOCK","R",1000,0.01684636118598,59360,0,115581,0.455,"Health Care","","","",0,8,1356831,0.0437490004282037,55,"Health Care",2407.059799,"Values0910b",53.6358425321062,"2008"
"Crop Production & Basic Processing",2008,"TX","ROB","CURNOCK","17","ROB CURNOCK","R",250,0.0042115902965,59360,0,115581,0.455,"Consumer Staples","","","",0,9,1356831,0.0437490004282037,52,"Consumer Staples",1276.894906,"Values0910b",41.7387671770374,"2008"
"Electric Utilities",2008,"TX","CHET","EDWARDS","17","CHET EDWARDS","D",66000,0.0508681889614,1297471,1,134592,0.5298,"Utilities","","","",1,6,1356831,0.956250999571796,60,"Utilities",868.722424,"Values0910b",20.2021137168348,"2008"
"Electric Utilities",2008,"TX","ROB","CURNOCK","17","ROB CURNOCK","R",1000,0.016846361186,59360,0,115581,0.455,"Utilities","","","",0,7,1356831,0.0437490004282037,60,"Utilities",868.722424,"Values0910b",20.2021137168348,"2008"
"Oil & Gas",2008,"TX","ROB","CURNOCK","17","ROB CURNOCK","R",4600,0.0774932614555,59360,0,115581,0.455,"Energy","","","",0,4,1356831,0.0437490004282037,53,"Energy",1891.171767,"Values0910b",75.2135392458047,"2008"
"Air Transport",2008,"TX","CHET","EDWARDS","17","CHET EDWARDS","D",85550,0.065935963116,1297471,1,134592,0.5298,"Industrials","","","",1,5,1356831,0.956250999571796,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Insurance",2008,"TX","SHEILA","LEE","18","SHEILA JACKSON LEE","D",24600,0.038543011494,638248,1,148617,0.7732,"Financials","","","",1,4,673928,0.947056658871571,54,"Financials",3368.140109,"Values0910b",50.7751611207871,"2008"
"Air Transport",2008,"TX","SHEILA","LEE","18","SHEILA JACKSON LEE","D",38008,0.0595505195473,638248,1,148617,0.7732,"Industrials","","","",1,3,673928,0.947056658871571,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Misc Business",2008,"TX","SHEILA","LEE","18","SHEILA JACKSON LEE","D",14258,0.0223392787756,638248,1,148617,0.7732,"Materials","Consumer Discretionary","Consumer Staples","Industrials",1,5,673928,0.947056658871571,58,"Materials",1292.213892,"Values0910b",55.1354439841035,"2008"
"Hospitals/Nursing Homes",2008,"TX","SHEILA","LEE","18","SHEILA JACKSON LEE","D",10300,0.0161379275767,638248,1,148617,0.7732,"Health Care","","","",1,7,673928,0.947056658871571,55,"Health Care",2407.059799,"Values0910b",53.6358425321062,"2008"
"Telephone Utilities",2008,"TX","SHEILA","LEE","18","SHEILA JACKSON LEE","D",12500,0.019584863564,638248,1,148617,0.7732,"Telecommunication Services","","","",1,6,673928,0.947056658871571,59,"Telecommunication Services",104.162058,"Values0910b",48.6155909399014,"2008"
"Building Materials & Equipment",2008,"TX","RANDY","NEUGEBAUER","19","RANDY NEUGEBAUER","R",23250,0.0279571107859,831631,1,168501,0.7244,"Materials","Industrials","","",1,8,842181,0.987473001646914,58,"Materials",1292.213892,"Values0910b",55.1354439841035,"2008"
"Electric Utilities",2008,"TX","RANDY","NEUGEBAUER","19","RANDY NEUGEBAUER","R",23800,0.0286184617938,831631,1,168501,0.7244,"Utilities","","","",1,7,842181,0.987473001646914,60,"Utilities",868.722424,"Values0910b",20.2021137168348,"2008"
"Agricultural Services/Products",2008,"TX","RANDY","NEUGEBAUER","19","RANDY NEUGEBAUER","R",96100,0.1155560579151,831631,1,168501,0.7244,"Consumer Staples","","","",1,4,842181,0.987473001646914,52,"Consumer Staples",1276.894906,"Values0910b",41.7387671770374,"2008"
"Home Builders",2008,"TX","RANDY","NEUGEBAUER","19","RANDY NEUGEBAUER","R",33550,0.0403424114782,831631,1,168501,0.7244,"Industrials","","","",1,6,842181,0.987473001646914,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Misc Energy",2008,"TX","RANDY","NEUGEBAUER","19","RANDY NEUGEBAUER","R",110200,0.1325106928429,831631,1,168501,0.7244,"Energy","","","",1,3,842181,0.987473001646914,53,"Energy",1891.171767,"Values0910b",75.2135392458047,"2008"
"Insurance",2008,"TX","TED","POE","2","TED POE","R",39703,0.078890999555,503264,1,175101,0.8892,"Financials","","","",1,5,503264,1,54,"Financials",3368.140109,"Values0910b",50.7751611207871,"2008"
"Electric Utilities",2008,"TX","TED","POE","2","TED POE","R",11253,0.0223600337,503264,1,175101,0.8892,"Utilities","","","",1,8,503264,1,60,"Utilities",868.722424,"Values0910b",20.2021137168348,"2008"
"Building Materials & Equipment",2008,"TX","TED","POE","2","TED POE","R",25050,0.0497750683538,503264,1,175101,0.8892,"Materials","Industrials","","",1,7,503264,1,58,"Materials",1292.213892,"Values0910b",55.1354439841035,"2008"
"Telecom Services & Equipment",2008,"TX","CHARLIE","GONZALEZ","20","CHARLIE A GONZALEZ","D",45300,0.070940533667,638563,1,127298,0.719,"Telecommunication Services","","","",1,6,638563,1,59,"Telecommunication Services",104.162058,"Values0910b",48.6155909399014,"2008"
"Air Transport",2008,"TX","CHARLIE","GONZALEZ","20","CHARLIE A GONZALEZ","D",12150,0.0190270967782,638563,1,127298,0.719,"Industrials","","","",1,10,638563,1,56,"Industrials",2926.302946,"Values0910b",61.0940080095609,"2008"
"Health Services/HMOs",2008,"TX","CHARLIE","GONZALEZ","20","CHARLIE A GONZALEZ","D",52150,0.0816677446079,638563,1,127298,0.719,"Health Care","","","",1,5,638563,1,55,"Health Care",2407.059799,"Values0910b",53.6358425321062,"2008"
"Commercial Banks",2008,"TX","CHARLIE","GONZALEZ","20","CHARLIE A GONZALEZ","D",38250,0.059900119487,638563,1,127298,0.719,"Financials","","","",1,7,638563,1,54,"Financials",3368.140109,"Values0910b",50.7751611207871,"2008"
"Misc Energy",2008,"TX","CHARLIE","GONZALEZ","20","CHARLIE A GONZALEZ","D",64250,0.1006165405763,638563,1,127298,0.719,"Energy","","","",1,4,638563,1,53,"Energy",1891.171767,"Values0910b",75.2135392458047,"2008"
"Beer, Wine & Liquor",2008,"TX","CHARLIE","GONZALEZ","20","CHARLIE A GONZALEZ","D",19400,0.0303807141973,638563,1,127298,0.719,"Consumer Staples","","","",1,9,638563,1,52,"Consumer Staples",1276.894906,"Values0910b",41.7387671770374,"2008"
"Electric Utilities",2008,"TX","CHARLIE","GONZALEZ","20","CHARLIE A GONZALEZ","D",37000,0.0579425992424,638563,1,127298,0.719,"Utilities","","","",1,8,638563,1,60,"Utilities",868.722424,"Values0910b",20.2021137168348,"2008"
