OPENSECRETS.INDUSTRY,YEAR,STATE,FIRST,LAST,DISTRICT,CANDIDATE,PARTY,AMOUNT,INDUSTRYPERCENT,CANDTOTAL,INCUMBENT,VOTES,PERCENT,PRIMARY.INDUSTRY,SECONDARY.INDUSTRY1,SECONDARY.INDUSTRY2,SECONDARY.INDUSTRY3,WINNER,indrank,TotalRaceFunds,RaceFundPerc,X,Sector,AdjClose,Group,YrPercentChange,RelYear
Misc Business,2006,MD,WAYNE,GILCHREST,1,WAYNE T GILCHREST,R,4250,0.031177787,136315,1,185177,0.688,Materials,Consumer Discretionary,Consumer Staples,Industrials,1,7,149815,0.909888863,38,Materials,832.958516,Values0708b,-0.166289459,2006
Misc Health,2006,MD,JIM,CORWIN,1,JIM CORWIN,D,250,0.018518519,13500,0,83738,0.3111,Health Care,,,,0,4,149815,0.090111137,35,Health Care,1537.860627,Values0708b,-0.170820251,2006
Construction Services,2006,MD,WAYNE,GILCHREST,1,WAYNE T GILCHREST,R,5275,0.038697135,136315,1,185177,0.688,Industrials,,,,1,6,149815,0.909888863,36,Industrials,1805.288503,Values0708b,-0.196719012,2006
Accountants,2006,MD,WAYNE,GILCHREST,1,WAYNE T GILCHREST,R,11550,0.08473022,136315,1,185177,0.688,Financials,,,,1,3,149815,0.909888863,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Crop Production & Basic Processing,2006,MD,WAYNE,GILCHREST,1,WAYNE T GILCHREST,R,8250,0.060521586,136315,1,185177,0.688,Consumer Staples,,,,1,4,149815,0.909888863,32,Consumer Staples,841.080984,Values0708b,-0.118594484,2006
Oil & Gas,2006,MD,WAYNE,GILCHREST,1,WAYNE T GILCHREST,R,1500,0.011003925,136315,1,185177,0.688,Energy,,,,1,8,149815,0.909888863,33,Energy,1067.548045,Values0708b,-0.208056602,2006
Automotive,2006,MD,DUTCH,RUPPERSBERGER,2,DUTCH RUPPERSBERGER,D,81077,0.150619555,538290,1,135818,0.6921,Consumer Discretionary,,,,1,2,538790,0.999071995,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Business Services,2006,MD,JIMMY,MATHIS,2,JIMMY MATHIS,R,500,1,500,0,60195,0.3068,Consumer Discretionary,Industrials,,,0,1,538790,0.000928005,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Commercial Banks,2006,MD,DUTCH,RUPPERSBERGER,2,DUTCH RUPPERSBERGER,D,50150,0.093165394,538290,1,135818,0.6921,Financials,,,,1,5,538790,0.999071995,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Electric Utilities,2006,MD,DUTCH,RUPPERSBERGER,2,DUTCH RUPPERSBERGER,D,16750,0.031117056,538290,1,135818,0.6921,Utilities,,,,1,6,538790,0.999071995,40,Utilities,722.718093,Values0708b,-0.146561779,2006
Defense Aerospace,2006,MD,DUTCH,RUPPERSBERGER,2,DUTCH RUPPERSBERGER,D,79250,0.147225473,538290,1,135818,0.6921,Industrials,,,,1,4,538790,0.999071995,36,Industrials,1805.288503,Values0708b,-0.196719012,2006
Misc Business,2006,MD,JOHN,SARBANES,3,JOHN SARBANES,D,24238,0.025814189,938941,0,150142,0.6403,Materials,Consumer Discretionary,Consumer Staples,Industrials,1,5,954750,0.983441739,38,Materials,832.958516,Values0708b,-0.166289459,2006
Food & Beverage,2006,MD,JOHN,SARBANES,3,JOHN SARBANES,D,22996,0.024491422,938941,0,150142,0.6403,Consumer Staples,,,,1,6,954750,0.983441739,32,Consumer Staples,841.080984,Values0708b,-0.118594484,2006
Misc Finance,2006,MD,JOHN,SARBANES,3,JOHN SARBANES,D,67278,0.071653064,938941,0,150142,0.6403,Financials,,,,1,3,954750,0.983441739,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Business Services,2006,MD,JOHN,SARBANES,3,JOHN SARBANES,D,36550,0.038926834,938941,0,150142,0.6403,Consumer Discretionary,Industrials,,,1,4,954750,0.983441739,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Commercial Banks,2006,MD,JOHN,WHITE,3,JOHN DAVID WHITE,R,1750,0.110696439,15809,0,79174,0.3376,Financials,,,,0,2,954750,0.016558261,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Hospitals/Nursing Homes,2006,MD,ALBERT,WYNN,4,ALBERT R WYNN,D,15900,0.028545268,557010,1,141897,0.8067,Health Care,,,,1,8,557010,1,35,Health Care,1537.860627,Values0708b,-0.170820251,2006
Securities & Investment,2006,MD,ALBERT,WYNN,4,ALBERT R WYNN,D,21500,0.038598948,557010,1,141897,0.8067,Financials,,,,1,7,557010,1,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Telecom Services & Equipment,2006,MD,ALBERT,WYNN,4,ALBERT R WYNN,D,49500,0.088867345,557010,1,141897,0.8067,Telecommunication Services,,,,1,5,557010,1,39,Telecommunication Services,70.088244,Values0708b,-0.178153769,2006
Defense Electronics,2006,MD,ALBERT,WYNN,4,ALBERT R WYNN,D,26799,0.048112242,557010,1,141897,0.8067,Industrials,,,,1,6,557010,1,36,Industrials,1805.288503,Values0708b,-0.196719012,2006
Oil & Gas,2006,MD,ALBERT,WYNN,4,ALBERT R WYNN,D,10500,0.018850649,557010,1,141897,0.8067,Energy,,,,1,10,557010,1,33,Energy,1067.548045,Values0708b,-0.208056602,2006
Food & Beverage,2006,MD,ALBERT,WYNN,4,ALBERT R WYNN,D,15607,0.028019246,557010,1,141897,0.8067,Consumer Staples,,,,1,9,557010,1,32,Consumer Staples,841.080984,Values0708b,-0.118594484,2006
Automotive,2006,MD,ALBERT,WYNN,4,ALBERT R WYNN,D,59400,0.106640814,557010,1,141897,0.8067,Consumer Discretionary,,,,1,4,557010,1,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Electric Utilities,2006,MD,ALBERT,WYNN,4,ALBERT R WYNN,D,91811,0.16482828,557010,1,141897,0.8067,Utilities,,,,1,3,557010,1,40,Utilities,722.718093,Values0708b,-0.146561779,2006
TV/Movies/Music,2006,MD,STENY,HOYER,5,STENY H HOYER,D,47500,0.032797208,1448294,1,168114,0.8268,Consumer Discretionary,,,,1,6,1448994,0.999516906,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Electric Utilities,2006,MD,STENY,HOYER,5,STENY H HOYER,D,74550,0.051474355,1448294,1,168114,0.8268,Utilities,,,,1,5,1448994,0.999516906,40,Utilities,722.718093,Values0708b,-0.146561779,2006
Accountants,2006,MD,STENY,HOYER,5,STENY H HOYER,D,274031,0.189209511,1448294,1,168114,0.8268,Financials,,,,1,3,1448994,0.999516906,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Misc Business,2006,MD,STEVEN,WARNER,5,STEVEN WARNER,I,200,0.285714286,700,0,33464,0.1646,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,2,1448994,0.000483094,38,Materials,832.958516,Values0708b,-0.166289459,2006
Health Services/HMOs,2006,MD,STENY,HOYER,5,STENY H HOYER,D,169400,0.116965202,1448294,1,168114,0.8268,Health Care,,,,1,4,1448994,0.999516906,35,Health Care,1537.860627,Values0708b,-0.170820251,2006
Misc Defense,2006,MD,STENY,HOYER,5,STENY H HOYER,D,38950,0.026893711,1448294,1,168114,0.8268,Industrials,,,,1,7,1448994,0.999516906,36,Industrials,1805.288503,Values0708b,-0.196719012,2006
Automotive,2006,MD,ROSCOE,BARTLETT,6,ROSCOE G BARTLETT,R,26450,0.129733176,203880,1,141200,0.5897,Consumer Discretionary,,,,1,4,305272,0.667863414,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Construction Services,2006,MD,ROBERT,KOZAK,6,ROBERT E KOZAK,I,1000,0.476190476,2100,0,6095,0.0255,Industrials,,,,0,2,305272,0.006879111,36,Industrials,1805.288503,Values0708b,-0.196719012,2006
Business Services,2006,MD,ANDREW,DUCK,6,ANDREW JAMES DUCK,D,4123,0.04152399,99292,0,92030,0.3843,Consumer Discretionary,Industrials,,,0,3,305272,0.325257475,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Misc Defense,2006,MD,ANDREW,DUCK,6,ANDREW JAMES DUCK,D,1399,0.014089755,99292,0,92030,0.3843,Industrials,,,,0,7,305272,0.325257475,36,Industrials,1805.288503,Values0708b,-0.196719012,2006
Misc Business,2006,MD,ROSCOE,BARTLETT,6,ROSCOE G BARTLETT,R,4050,0.019864626,203880,1,141200,0.5897,Materials,Consumer Discretionary,Consumer Staples,Industrials,1,6,305272,0.667863414,38,Materials,832.958516,Values0708b,-0.166289459,2006
Electric Utilities,2006,MD,ROSCOE,BARTLETT,6,ROSCOE G BARTLETT,R,3500,0.017166961,203880,1,141200,0.5897,Utilities,,,,1,7,305272,0.667863414,40,Utilities,722.718093,Values0708b,-0.146561779,2006
Construction Services,2006,MD,ROSCOE,BARTLETT,6,ROSCOE G BARTLETT,R,81900,0.401706886,203880,1,141200,0.5897,Industrials,,,,1,1,305272,0.667863414,36,Industrials,1805.288503,Values0708b,-0.196719012,2006
Telecom Services & Equipment,2006,MD,ANDREW,DUCK,6,ANDREW JAMES DUCK,D,1107,0.011148934,99292,0,92030,0.3843,Telecommunication Services,,,,0,8,305272,0.325257475,39,Telecommunication Services,70.088244,Values0708b,-0.178153769,2006
Chemical & Related Manufacturing,2006,MD,ANDREW,DUCK,6,ANDREW JAMES DUCK,D,3250,0.032731741,99292,0,92030,0.3843,Materials,,,,0,4,305272,0.325257475,38,Materials,832.958516,Values0708b,-0.166289459,2006
"Beer, Wine & Liquor",2006,MD,ANDREW,DUCK,6,ANDREW JAMES DUCK,D,2100,0.02114974,99292,0,92030,0.3843,Consumer Staples,,,,0,5,305272,0.325257475,32,Consumer Staples,841.080984,Values0708b,-0.118594484,2006
Insurance,2006,MD,ROSCOE,BARTLETT,6,ROSCOE G BARTLETT,R,8450,0.041445949,203880,1,141200,0.5897,Financials,,,,1,5,305272,0.667863414,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Insurance,2006,MD,ANDREW,DUCK,6,ANDREW JAMES DUCK,D,1416,0.014260968,99292,0,92030,0.3843,Financials,,,,0,6,305272,0.325257475,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Automotive,2006,MD,ELIJAH,CUMMINGS,7,ELIJAH E CUMMINGS,D,23250,0.041539665,559706,1,158830,0.9806,Consumer Discretionary,,,,1,6,559706,1,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Air Transport,2006,MD,ELIJAH,CUMMINGS,7,ELIJAH E CUMMINGS,D,41440,0.07403887,559706,1,158830,0.9806,Industrials,,,,1,3,559706,1,36,Industrials,1805.288503,Values0708b,-0.196719012,2006
Electric Utilities,2006,MD,ELIJAH,CUMMINGS,7,ELIJAH E CUMMINGS,D,15500,0.02769311,559706,1,158830,0.9806,Utilities,,,,1,7,559706,1,40,Utilities,722.718093,Values0708b,-0.146561779,2006
Health Services/HMOs,2006,MD,ELIJAH,CUMMINGS,7,ELIJAH E CUMMINGS,D,24700,0.044130311,559706,1,158830,0.9806,Health Care,,,,1,5,559706,1,35,Health Care,1537.860627,Values0708b,-0.170820251,2006
Commercial Banks,2006,MD,ELIJAH,CUMMINGS,7,ELIJAH E CUMMINGS,D,30000,0.053599568,559706,1,158830,0.9806,Financials,,,,1,4,559706,1,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Securities & Investment,2006,MD,JEFFREY,STEIN,8,JEFFREY M STEIN,R,500,0.033364474,14986,0,48324,0.219,Financials,,,,0,4,1078793,0.013891451,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Misc Defense,2006,MD,CHRIS,HOLLEN,8,CHRIS VAN HOLLEN,D,25500,0.023970513,1063807,1,168872,0.7652,Industrials,,,,1,5,1078793,0.986108549,36,Industrials,1805.288503,Values0708b,-0.196719012,2006
Construction Services,2006,MD,JEFFREY,STEIN,8,JEFFREY M STEIN,R,500,0.033364474,14986,0,48324,0.219,Industrials,,,,0,3,1078793,0.013891451,36,Industrials,1805.288503,Values0708b,-0.196719012,2006
Hospitals/Nursing Homes,2006,MD,CHRIS,HOLLEN,8,CHRIS VAN HOLLEN,D,44950,0.042253905,1063807,1,168872,0.7652,Health Care,,,,1,4,1078793,0.986108549,35,Health Care,1537.860627,Values0708b,-0.170820251,2006
Business Services,2006,MD,CHRIS,HOLLEN,8,CHRIS VAN HOLLEN,D,108400,0.101898183,1063807,1,168872,0.7652,Consumer Discretionary,Industrials,,,1,3,1078793,0.986108549,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Business Services,2006,MD,BEN,CARDIN,S,BEN CARDIN,D,224900,0.04181129,5378930,0,965477,0.5421,Consumer Discretionary,Industrials,,,1,4,9362224,0.574535495,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Misc Business,2006,MD,MICHAEL,STEELE,S,MICHAEL STEELE,R,144446,0.036470433,3960633,0,787182,0.442,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,5,9362224,0.423044033,38,Materials,832.958516,Values0708b,-0.166289459,2006
Insurance,2006,MD,MICHAEL,STEELE,S,MICHAEL STEELE,R,580657,0.146607121,3960633,0,787182,0.442,Financials,,,,0,3,9362224,0.423044033,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Hospitals/Nursing Homes,2006,MD,BEN,CARDIN,S,BEN CARDIN,D,136775,0.02542792,5378930,0,965477,0.5421,Health Care,,,,1,5,9362224,0.574535495,35,Health Care,1537.860627,Values0708b,-0.170820251,2006
Food & Beverage,2006,MD,MICHAEL,STEELE,S,MICHAEL STEELE,R,105450,0.026624532,3960633,0,787182,0.442,Consumer Staples,,,,0,7,9362224,0.423044033,32,Consumer Staples,841.080984,Values0708b,-0.118594484,2006
Misc Services,2006,MD,KEVIN,ZEESE,S,KEVIN ZEESE,I,500,0.02206434,22661,0,27564,0.0155,Industrials,,,,0,5,9362224,0.002420472,36,Industrials,1805.288503,Values0708b,-0.196719012,2006
Automotive,2006,MD,KEVIN,ZEESE,S,KEVIN ZEESE,I,6100,0.269184943,22661,0,27564,0.0155,Consumer Discretionary,,,,0,2,9362224,0.002420472,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Automotive,2006,MD,MICHAEL,STEELE,S,MICHAEL STEELE,R,349763,0.088309874,3960633,0,787182,0.442,Consumer Discretionary,,,,0,4,9362224,0.423044033,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Electric Utilities,2006,MD,BEN,CARDIN,S,BEN CARDIN,D,99700,0.018535285,5378930,0,965477,0.5421,Utilities,,,,1,6,9362224,0.574535495,40,Utilities,722.718093,Values0708b,-0.146561779,2006
Oil & Gas,2006,MD,MICHAEL,STEELE,S,MICHAEL STEELE,R,106928,0.026997705,3960633,0,787182,0.442,Energy,,,,0,6,9362224,0.423044033,33,Energy,1067.548045,Values0708b,-0.208056602,2006
Accountants,2006,MD,BEN,CARDIN,S,BEN CARDIN,D,774930,0.144067686,5378930,0,965477,0.5421,Financials,,,,1,3,9362224,0.574535495,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Automotive,2006,ME,DARLENE,CURLEY,1,DARLENE J CURLEY,R,1825,0.025400493,71849,0,88009,0.3132,Consumer Discretionary,,,,0,6,733044,0.09801458,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Misc Services,2006,ME,DEXTER,KAMILEWICZ,1,DEXTER J KAMILEWICZ,I,500,0.027379257,18262,0,22029,0.0784,Industrials,,,,0,5,733044,0.024912556,36,Industrials,1805.288503,Values0708b,-0.196719012,2006
Automotive,2006,ME,TOM,ALLEN,1,TOM H ALLEN,D,55437,0.086225159,642933,1,170949,0.6084,Consumer Discretionary,,,,1,4,733044,0.877072863,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
"Beer, Wine & Liquor",2006,ME,DARLENE,CURLEY,1,DARLENE J CURLEY,R,6250,0.086987989,71849,0,88009,0.3132,Consumer Staples,,,,0,4,733044,0.09801458,32,Consumer Staples,841.080984,Values0708b,-0.118594484,2006
Hospitals/Nursing Homes,2006,ME,TOM,ALLEN,1,TOM H ALLEN,D,29636,0.046095005,642933,1,170949,0.6084,Health Care,,,,1,5,733044,0.877072863,35,Health Care,1537.860627,Values0708b,-0.170820251,2006
Insurance,2006,ME,TOM,ALLEN,1,TOM H ALLEN,D,71900,0.111831248,642933,1,170949,0.6084,Financials,,,,1,3,733044,0.877072863,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Electric Utilities,2006,ME,TOM,ALLEN,1,TOM H ALLEN,D,9500,0.014776034,642933,1,170949,0.6084,Utilities,,,,1,6,733044,0.877072863,40,Utilities,722.718093,Values0708b,-0.146561779,2006
Hospitals/Nursing Homes,2006,ME,DEXTER,KAMILEWICZ,1,DEXTER J KAMILEWICZ,I,602,0.032964626,18262,0,22029,0.0784,Health Care,,,,0,4,733044,0.024912556,35,Health Care,1537.860627,Values0708b,-0.170820251,2006
Health Services/HMOs,2006,ME,DARLENE,CURLEY,1,DARLENE J CURLEY,R,1000,0.013918078,71849,0,88009,0.3132,Health Care,,,,0,7,733044,0.09801458,35,Health Care,1537.860627,Values0708b,-0.170820251,2006
Accountants,2006,ME,DARLENE,CURLEY,1,DARLENE J CURLEY,R,8300,0.115520049,71849,0,88009,0.3132,Financials,,,,0,3,733044,0.09801458,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Misc Business,2006,ME,DARLENE,CURLEY,1,DARLENE J CURLEY,R,4050,0.056368217,71849,0,88009,0.3132,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,5,733044,0.09801458,38,Materials,832.958516,Values0708b,-0.166289459,2006
Printing & Publishing,2006,ME,DEXTER,KAMILEWICZ,1,DEXTER J KAMILEWICZ,I,500,0.027379257,18262,0,22029,0.0784,Consumer Discretionary,Industrials,,,0,6,733044,0.024912556,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Trucking,2006,ME,DARLENE,CURLEY,1,DARLENE J CURLEY,R,1000,0.013918078,71849,0,88009,0.3132,Industrials,,,,0,8,733044,0.09801458,36,Industrials,1805.288503,Values0708b,-0.196719012,2006
Accountants,2006,ME,DEXTER,KAMILEWICZ,1,DEXTER J KAMILEWICZ,I,4200,0.229985763,18262,0,22029,0.0784,Financials,,,,0,2,733044,0.024912556,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Construction Services,2006,ME,MIKE,MICHAUD,2,MIKE MICHAUD,D,21000,0.044415304,472810,1,179732,0.7052,Industrials,,,,1,5,491695,0.961592044,36,Industrials,1805.288503,Values0708b,-0.196719012,2006
Misc Business,2006,ME,LAURENCE,DAMBOISE,2,LAURENCE SCOTT DAMBOISE,R,10600,0.561292031,18885,0,75146,0.2948,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,1,491695,0.038407956,38,Materials,832.958516,Values0708b,-0.166289459,2006
Automotive,2006,ME,MIKE,MICHAUD,2,MIKE MICHAUD,D,23250,0.049174087,472810,1,179732,0.7052,Consumer Discretionary,,,,1,4,491695,0.961592044,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
"Beer, Wine & Liquor",2006,ME,MIKE,MICHAUD,2,MIKE MICHAUD,D,26750,0.056576638,472810,1,179732,0.7052,Consumer Staples,,,,1,3,491695,0.961592044,32,Consumer Staples,841.080984,Values0708b,-0.118594484,2006
Misc Finance,2006,ME,LAURENCE,DAMBOISE,2,LAURENCE SCOTT DAMBOISE,R,485,0.025681758,18885,0,75146,0.2948,Financials,,,,0,3,491695,0.038407956,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Building Materials & Equipment,2006,ME,MIKE,MICHAUD,2,MIKE MICHAUD,D,13000,0.027495188,472810,1,179732,0.7052,Materials,Industrials,,,1,7,491695,0.961592044,38,Materials,832.958516,Values0708b,-0.166289459,2006
Insurance,2006,ME,MIKE,MICHAUD,2,MIKE MICHAUD,D,15000,0.031725217,472810,1,179732,0.7052,Financials,,,,1,6,491695,0.961592044,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Business Services,2006,ME,JEAN,BRIGHT,S,JEAN HAY BRIGHT,D,10600,0.229402471,46207,0,111984,0.2059,Consumer Discretionary,Industrials,,,0,2,2083237,0.022180386,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Misc Energy,2006,ME,JEAN,BRIGHT,S,JEAN HAY BRIGHT,D,1000,0.021641743,46207,0,111984,0.2059,Energy,,,,0,5,2083237,0.022180386,33,Energy,1067.548045,Values0708b,-0.208056602,2006
Health Services/HMOs,2006,ME,OLYMPIA,SNOWE,S,OLYMPIA SNOWE,R,136075,0.066822008,2036380,1,402598,0.7401,Health Care,,,,1,5,2083237,0.9775076,35,Health Care,1537.860627,Values0708b,-0.170820251,2006
Accountants,2006,ME,OLYMPIA,SNOWE,S,OLYMPIA SNOWE,R,589404,0.289437138,2036380,1,402598,0.7401,Financials,,,,1,2,2083237,0.9775076,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Accountants,2006,ME,JEAN,BRIGHT,S,JEAN HAY BRIGHT,D,500,0.010820871,46207,0,111984,0.2059,Financials,,,,0,6,2083237,0.022180386,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Crop Production & Basic Processing,2006,ME,JEAN,BRIGHT,S,JEAN HAY BRIGHT,D,300,0.006492523,46207,0,111984,0.2059,Consumer Staples,,,,0,8,2083237,0.022180386,32,Consumer Staples,841.080984,Values0708b,-0.118594484,2006
Air Transport,2006,ME,OLYMPIA,SNOWE,S,OLYMPIA SNOWE,R,72700,0.035700606,2036380,1,402598,0.7401,Industrials,,,,1,6,2083237,0.9775076,36,Industrials,1805.288503,Values0708b,-0.196719012,2006
Business Services,2006,ME,OLYMPIA,SNOWE,S,OLYMPIA SNOWE,R,238725,0.117230085,2036380,1,402598,0.7401,Consumer Discretionary,Industrials,,,1,4,2083237,0.9775076,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
TV/Movies/Music,2006,ME,WILLIAM,SLAVICK,S,WILLIAM H SLAVICK,I,200,0.307692308,650,0,29220,0.0537,Consumer Discretionary,,,,0,2,2083237,0.000312014,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Hospitals/Nursing Homes,2006,ME,JEAN,BRIGHT,S,JEAN HAY BRIGHT,D,500,0.010820871,46207,0,111984,0.2059,Health Care,,,,0,7,2083237,0.022180386,35,Health Care,1537.860627,Values0708b,-0.170820251,2006
Electric Utilities,2006,MI,BART,STUPAK,1,BART STUPAK,D,56200,0.110078446,510545,1,180448,0.6942,Utilities,,,,1,4,511545,0.998045138,40,Utilities,722.718093,Values0708b,-0.146561779,2006
Building Materials & Equipment,2006,MI,BART,STUPAK,1,BART STUPAK,D,10500,0.020566258,510545,1,180448,0.6942,Materials,Industrials,,,1,7,511545,0.998045138,38,Materials,832.958516,Values0708b,-0.166289459,2006
Insurance,2006,MI,BART,STUPAK,1,BART STUPAK,D,19900,0.038977955,510545,1,180448,0.6942,Financials,,,,1,6,511545,0.998045138,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Automotive,2006,MI,BART,STUPAK,1,BART STUPAK,D,72849,0.142688695,510545,1,180448,0.6942,Consumer Discretionary,,,,1,2,511545,0.998045138,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Telecom Services & Equipment,2006,MI,BART,STUPAK,1,BART STUPAK,D,39250,0.07687863,510545,1,180448,0.6942,Telecommunication Services,,,,1,5,511545,0.998045138,39,Telecommunication Services,70.088244,Values0708b,-0.178153769,2006
"Beer, Wine & Liquor",2006,MI,BART,STUPAK,1,BART STUPAK,D,9250,0.018117894,510545,1,180448,0.6942,Consumer Staples,,,,1,9,511545,0.998045138,32,Consumer Staples,841.080984,Values0708b,-0.118594484,2006
Waste Management,2006,MI,BART,STUPAK,1,BART STUPAK,D,10000,0.019586912,510545,1,180448,0.6942,Industrials,,,,1,8,511545,0.998045138,36,Industrials,1805.288503,Values0708b,-0.196719012,2006
Electric Utilities,2006,MI,CANDICE,MILLER,10,CANDICE S MILLER,R,15100,0.0312654,482962,1,179072,0.6622,Utilities,,,,1,8,490662,0.984306916,40,Utilities,722.718093,Values0708b,-0.146561779,2006
Accountants,2006,MI,CANDICE,MILLER,10,CANDICE S MILLER,R,42000,0.086963364,482962,1,179072,0.6622,Financials,,,,1,5,490662,0.984306916,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Air Transport,2006,MI,CANDICE,MILLER,10,CANDICE S MILLER,R,46299,0.095864685,482962,1,179072,0.6622,Industrials,,,,1,4,490662,0.984306916,36,Industrials,1805.288503,Values0708b,-0.196719012,2006
Hospitals/Nursing Homes,2006,MI,CANDICE,MILLER,10,CANDICE S MILLER,R,15700,0.032507734,482962,1,179072,0.6622,Health Care,,,,1,7,490662,0.984306916,35,Health Care,1537.860627,Values0708b,-0.170820251,2006
"Beer, Wine & Liquor",2006,MI,CANDICE,MILLER,10,CANDICE S MILLER,R,37553,0.0777556,482962,1,179072,0.6622,Consumer Staples,,,,1,6,490662,0.984306916,32,Consumer Staples,841.080984,Values0708b,-0.118594484,2006
Automotive,2006,MI,CANDICE,MILLER,10,CANDICE S MILLER,R,68300,0.141418994,482962,1,179072,0.6622,Consumer Discretionary,,,,1,3,490662,0.984306916,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Misc Business,2006,MI,TONY,TRUPIANO,11,TONY TRUPIANO,D,750,0.009768423,76778,0,114248,0.4299,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,5,553948,0.138601457,38,Materials,832.958516,Values0708b,-0.166289459,2006
Commercial Banks,2006,MI,THADDEUS,MCCOTTER,11,THADDEUS G MCCOTTER,R,54200,0.113586353,477170,1,143658,0.5405,Financials,,,,1,4,553948,0.861398543,34,Financials,2225.069963,Values0708b,-0.610111146,2006
"Beer, Wine & Liquor",2006,MI,THADDEUS,MCCOTTER,11,THADDEUS G MCCOTTER,R,42049,0.088121634,477170,1,143658,0.5405,Consumer Staples,,,,1,5,553948,0.861398543,32,Consumer Staples,841.080984,Values0708b,-0.118594484,2006
Home Builders,2006,MI,THADDEUS,MCCOTTER,11,THADDEUS G MCCOTTER,R,25000,0.052392229,477170,1,143658,0.5405,Industrials,,,,1,6,553948,0.861398543,36,Industrials,1805.288503,Values0708b,-0.196719012,2006
Chemical & Related Manufacturing,2006,MI,THADDEUS,MCCOTTER,11,THADDEUS G MCCOTTER,R,20600,0.043171197,477170,1,143658,0.5405,Materials,,,,1,7,553948,0.861398543,38,Materials,832.958516,Values0708b,-0.166289459,2006
Automotive,2006,MI,THADDEUS,MCCOTTER,11,THADDEUS G MCCOTTER,R,73800,0.154661861,477170,1,143658,0.5405,Consumer Discretionary,,,,1,3,553948,0.861398543,31,Consumer Discretionary,1486.952853,Values0708b,-0.382718022,2006
Food Processing & Sales,2006,MI,TONY,TRUPIANO,11,TONY TRUPIANO,D,500,0.006512282,76778,0,114248,0.4299,Consumer Staples,,,,0,6,553948,0.138601457,32,Consumer Staples,841.080984,Values0708b,-0.118594484,2006
Electric Utilities,2006,MI,THADDEUS,MCCOTTER,11,THADDEUS G MCCOTTER,R,17430,0.036527862,477170,1,143658,0.5405,Utilities,,,,1,8,553948,0.861398543,40,Utilities,722.718093,Values0708b,-0.146561779,2006
Accountants,2006,MI,TONY,TRUPIANO,11,TONY TRUPIANO,D,3027,0.039425356,76778,0,114248,0.4299,Financials,,,,0,3,553948,0.138601457,34,Financials,2225.069963,Values0708b,-0.610111146,2006
Steel Production,2006,MI,SANDER,LEVIN,12,SANDER LEVIN,D,6750,0.014270643,472999,1,168494,0.7017,Materials,,,,1,8,472999,1,38,Materials,832.958516,Values0708b,-0.166289459,2006
