OPENSECRETS.INDUSTRY,YEAR,STATE,FIRST,LAST,DISTRICT,CANDIDATE,PARTY,AMOUNT,INDUSTRYPERCENT,CANDTOTAL,INCUMBENT,VOTES,PERCENT,PRIMARY.INDUSTRY,SECONDARY.INDUSTRY1,SECONDARY.INDUSTRY2,SECONDARY.INDUSTRY3,WINNER,TotalRaceFunds,RaceFundPerc,CANDTOTALLEVEL,VOTESLEVEL,INDRANK,X,Sector,AdjClose,Group,YrPercentChange,RelYear
Hospitals/Nursing Homes,2010,CA,MAXINE,WATERS,35,MAXINE WATERS,D,3400,0.015495397,219420,1,98131,0.7933,Health Care,,,,1,222160,0.987666547,Very Low,Mid-Low,7,75,Health Care,3406.316132,Values1112b,0.400185967,2010
Misc Business,2010,CA,MAXINE,WATERS,35,MAXINE WATERS,D,9450,0.043068089,219420,1,98131,0.7933,Materials,Consumer Discretionary,Consumer Staples,Industrials,1,222160,0.987666547,Very Low,Mid-Low,5,78,Materials,1588.156648,Values1112b,0.205756415,2010
Misc Energy,2010,CA,MATTIE,FEIN,36,MATTIE FEIN,R,2300,0.125,18400,0,66706,0.3474,Energy,,,,0,803943,0.022887195,Very Low,Very Low,4,73,Energy,1889.559322,Values1112b,-0.01942406,2010
Misc Finance,2010,CA,JANE,HARMAN,36,JANE HARMAN,D,102700,0.130737592,785543,1,114489,0.5962,Financials,,,,1,803943,0.977112805,Mid-Low,Mid-Low,4,74,Financials,3888.64132,Values1112b,0.154536686,2010
Insurance,2010,CA,MATTIE,FEIN,36,MATTIE FEIN,R,3000,0.163043478,18400,0,66706,0.3474,Financials,,,,0,803943,0.022887195,Very Low,Very Low,3,74,Financials,3888.64132,Values1112b,0.154536686,2010
Air Transport,2010,CA,JANE,HARMAN,36,JANE HARMAN,D,46050,0.05862187,785543,1,114489,0.5962,Industrials,,,,1,803943,0.977112805,Mid-Low,Mid-Low,5,76,Industrials,3400.624114,Values1112b,0.16208888,2010
Misc Manufacturing & Distributing,2010,CA,JANE,HARMAN,36,JANE HARMAN,D,119400,0.151996772,785543,1,114489,0.5962,Consumer Discretionary,Materials,Consumer Staples,Industrials,1,803943,0.977112805,Mid-Low,Mid-Low,3,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Business Services,2010,CA,MATTIE,FEIN,36,MATTIE FEIN,R,3150,0.171195652,18400,0,66706,0.3474,Consumer Discretionary,Industrials,,,0,803943,0.022887195,Very Low,Very Low,2,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Misc Business,2010,CA,MATTIE,FEIN,36,MATTIE FEIN,R,500,0.027173913,18400,0,66706,0.3474,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,803943,0.022887195,Very Low,Very Low,6,78,Materials,1588.156648,Values1112b,0.205756415,2010
Insurance,2010,CA,STAR,PARKER,37,STAR PARKER,R,52450,0.115334801,454763,0,29159,0.2323,Financials,,,,0,847262,0.536744242,Mid-Low,Very Low,3,74,Financials,3888.64132,Values1112b,0.154536686,2010
Misc Business,2010,CA,STAR,PARKER,37,STAR PARKER,R,4900,0.010774843,454763,0,29159,0.2323,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,847262,0.536744242,Mid-Low,Very Low,6,78,Materials,1588.156648,Values1112b,0.205756415,2010
Oil & Gas,2010,CA,LAURA,RICHARDSON,37,LAURA RICHARDSON,D,9500,0.024203883,392499,1,85799,0.6836,Energy,,,,1,847262,0.463255758,Very Low,Mid-Low,6,73,Energy,1889.559322,Values1112b,-0.01942406,2010
Health Services/HMOs,2010,CA,LAURA,RICHARDSON,37,LAURA RICHARDSON,D,10250,0.026114716,392499,1,85799,0.6836,Health Care,,,,1,847262,0.463255758,Very Low,Mid-Low,5,75,Health Care,3406.316132,Values1112b,0.400185967,2010
Business Services,2010,CA,STAR,PARKER,37,STAR PARKER,R,25803,0.056739445,454763,0,29159,0.2323,Consumer Discretionary,Industrials,,,0,847262,0.536744242,Mid-Low,Very Low,4,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Misc Energy,2010,CA,STAR,PARKER,37,STAR PARKER,R,5300,0.011654422,454763,0,29159,0.2323,Energy,,,,0,847262,0.536744242,Mid-Low,Very Low,5,73,Energy,1889.559322,Values1112b,-0.01942406,2010
Air Transport,2010,CA,LAURA,RICHARDSON,37,LAURA RICHARDSON,D,47250,0.120382472,392499,1,85799,0.6836,Industrials,,,,1,847262,0.463255758,Very Low,Mid-Low,3,76,Industrials,3400.624114,Values1112b,0.16208888,2010
Automotive,2010,CA,LAURA,RICHARDSON,37,LAURA RICHARDSON,D,30800,0.078471538,392499,1,85799,0.6836,Consumer Discretionary,,,,1,847262,0.463255758,Very Low,Mid-Low,4,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Crop Production & Basic Processing,2010,CA,GRACE,NAPOLITANO,38,GRACE NAPOLITANO,D,15300,0.059431324,257440,1,85459,0.7345,Consumer Staples,,,,1,257440,1,Very Low,Mid-Low,4,72,Consumer Staples,1733.876594,Values1112b,0.299364514,2010
Electric Utilities,2010,CA,GRACE,NAPOLITANO,38,GRACE NAPOLITANO,D,10500,0.040786203,257440,1,85459,0.7345,Utilities,,,,1,257440,1,Very Low,Mid-Low,5,80,Utilities,1065.691899,Values1112b,0.22673465,2010
Oil & Gas,2010,CA,GRACE,NAPOLITANO,38,GRACE NAPOLITANO,D,3590,0.013944997,257440,1,85459,0.7345,Energy,,,,1,257440,1,Very Low,Mid-Low,9,73,Energy,1889.559322,Values1112b,-0.01942406,2010
Hospitals/Nursing Homes,2010,CA,GRACE,NAPOLITANO,38,GRACE NAPOLITANO,D,5000,0.019422001,257440,1,85459,0.7345,Health Care,,,,1,257440,1,Very Low,Mid-Low,7,75,Health Care,3406.316132,Values1112b,0.400185967,2010
Air Transport,2010,CA,GRACE,NAPOLITANO,38,GRACE NAPOLITANO,D,7800,0.030298322,257440,1,85459,0.7345,Industrials,,,,1,257440,1,Very Low,Mid-Low,6,76,Industrials,3400.624114,Values1112b,0.16208888,2010
Telephone Utilities,2010,CA,GRACE,NAPOLITANO,38,GRACE NAPOLITANO,D,4000,0.015537601,257440,1,85459,0.7345,Telecommunication Services,,,,1,257440,1,Very Low,Mid-Low,8,79,Telecommunication Services,112.519055,Values1112b,0.080230721,2010
Casinos/Gambling,2010,CA,GRACE,NAPOLITANO,38,GRACE NAPOLITANO,D,21600,0.083903045,257440,1,85459,0.7345,Consumer Discretionary,,,,1,257440,1,Very Low,Mid-Low,3,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Dairy,2010,CA,LARRY,ANDRE,39,LARRY ANDRE,R,500,0.073378339,6814,0,42037,0.326,Consumer Staples,,,,0,517975,0.013155075,Very Low,Very Low,3,72,Consumer Staples,1733.876594,Values1112b,0.299364514,2010
Casinos/Gambling,2010,CA,LINDA,SANCHEZ,39,LINDA SANCHEZ,D,47811,0.093534131,511161,1,81590,0.6327,Consumer Discretionary,,,,1,517975,0.986844925,Mid-Low,Mid-Low,3,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Hospitals/Nursing Homes,2010,CA,LINDA,SANCHEZ,39,LINDA SANCHEZ,D,36600,0.071601707,511161,1,81590,0.6327,Health Care,,,,1,517975,0.986844925,Mid-Low,Mid-Low,5,75,Health Care,3406.316132,Values1112b,0.400185967,2010
"Beer, Wine & Liquor",2010,CA,LINDA,SANCHEZ,39,LINDA SANCHEZ,D,36058,0.070541375,511161,1,81590,0.6327,Consumer Staples,,,,1,517975,0.986844925,Mid-Low,Mid-Low,6,72,Consumer Staples,1733.876594,Values1112b,0.299364514,2010
Insurance,2010,CA,LINDA,SANCHEZ,39,LINDA SANCHEZ,D,35314,0.069085865,511161,1,81590,0.6327,Financials,,,,1,517975,0.986844925,Mid-Low,Mid-Low,7,74,Financials,3888.64132,Values1112b,0.154536686,2010
Air Transport,2010,CA,LINDA,SANCHEZ,39,LINDA SANCHEZ,D,43299,0.084707167,511161,1,81590,0.6327,Industrials,,,,1,517975,0.986844925,Mid-Low,Mid-Low,4,76,Industrials,3400.624114,Values1112b,0.16208888,2010
Crop Production & Basic Processing,2010,CA,TOM,MCCLINTOCK,4,TOM MCCLINTOCK,R,16975,0.030556571,555527,1,186397,0.6127,Consumer Staples,,,,1,576045,0.964381255,Mid-Low,Mid-High,6,72,Consumer Staples,1733.876594,Values1112b,0.299364514,2010
Misc Energy,2010,CA,TOM,MCCLINTOCK,4,TOM MCCLINTOCK,R,29400,0.05292272,555527,1,186397,0.6127,Energy,,,,1,576045,0.964381255,Mid-Low,Mid-High,5,73,Energy,1889.559322,Values1112b,-0.01942406,2010
Casinos/Gambling,2010,CA,TOM,MCCLINTOCK,4,TOM MCCLINTOCK,R,91400,0.164528457,555527,1,186397,0.6127,Consumer Discretionary,,,,1,576045,0.964381255,Mid-Low,Mid-High,2,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Telephone Utilities,2010,CA,TOM,MCCLINTOCK,4,TOM MCCLINTOCK,R,12500,0.022501157,555527,1,186397,0.6127,Telecommunication Services,,,,1,576045,0.964381255,Mid-Low,Mid-High,8,79,Telecommunication Services,112.519055,Values1112b,0.080230721,2010
Computers/Internet,2010,CA,CLINT,CURTIS,4,CLINT CURTIS,D,2380,0.168435952,14130,0,95653,0.3144,Consumer Discretionary,Information Technology,,,0,576045,0.024529334,Very Low,Mid-Low,2,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Accountants,2010,CA,TOM,MCCLINTOCK,4,TOM MCCLINTOCK,R,71075,0.127941576,555527,1,186397,0.6127,Financials,,,,1,576045,0.964381255,Mid-Low,Mid-High,3,74,Financials,3888.64132,Values1112b,0.154536686,2010
Building Materials & Equipment,2010,CA,TOM,MCCLINTOCK,4,TOM MCCLINTOCK,R,16600,0.029881536,555527,1,186397,0.6127,Materials,Industrials,,,1,576045,0.964381255,Mid-Low,Mid-High,7,78,Materials,1588.156648,Values1112b,0.205756415,2010
Misc Business,2010,CA,ED,ROYCE,40,ED ROYCE,R,15400,0.013543605,1137068,1,119455,0.6679,Materials,Consumer Discretionary,Consumer Staples,Industrials,1,1137068,1,Mid-High,Mid-Low,6,78,Materials,1588.156648,Values1112b,0.205756415,2010
Automotive,2010,CA,ED,ROYCE,40,ED ROYCE,R,55400,0.0487218,1137068,1,119455,0.6679,Consumer Discretionary,,,,1,1137068,1,Mid-High,Mid-Low,4,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Accountants,2010,CA,ED,ROYCE,40,ED ROYCE,R,561385,0.493712777,1137068,1,119455,0.6679,Financials,,,,1,1137068,1,Mid-High,Mid-Low,1,74,Financials,3888.64132,Values1112b,0.154536686,2010
Food & Beverage,2010,CA,ED,ROYCE,40,ED ROYCE,R,12900,0.011344968,1137068,1,119455,0.6679,Consumer Staples,,,,1,1137068,1,Mid-High,Mid-Low,7,72,Consumer Staples,1733.876594,Values1112b,0.299364514,2010
Oil & Gas,2010,CA,ED,ROYCE,40,ED ROYCE,R,22500,0.019787735,1137068,1,119455,0.6679,Energy,,,,1,1137068,1,Mid-High,Mid-Low,5,73,Energy,1889.559322,Values1112b,-0.01942406,2010
Crop Production & Basic Processing,2010,CA,JERRY,LEWIS,41,JERRY LEWIS,R,13800,0.028003247,492800,1,127857,0.6321,Consumer Staples,,,,1,505673,0.974542837,Mid-Low,Mid-Low,9,72,Consumer Staples,1733.876594,Values1112b,0.299364514,2010
Electronics Mfg & Services,2010,CA,JERRY,LEWIS,41,JERRY LEWIS,R,18100,0.036728896,492800,1,127857,0.6321,Information Technology,Consumer Discretionary,,,1,505673,0.974542837,Mid-Low,Mid-Low,8,77,Information Technology,2387.483504,Values1112b,0.073033953,2010
Electric Utilities,2010,CA,JERRY,LEWIS,41,JERRY LEWIS,R,21000,0.042613636,492800,1,127857,0.6321,Utilities,,,,1,505673,0.974542837,Mid-Low,Mid-Low,6,80,Utilities,1065.691899,Values1112b,0.22673465,2010
Air Transport,2010,CA,JERRY,LEWIS,41,JERRY LEWIS,R,171700,0.348417208,492800,1,127857,0.6321,Industrials,,,,1,505673,0.974542837,Mid-Low,Mid-Low,1,76,Industrials,3400.624114,Values1112b,0.16208888,2010
Insurance,2010,CA,JERRY,LEWIS,41,JERRY LEWIS,R,20450,0.041497565,492800,1,127857,0.6321,Financials,,,,1,505673,0.974542837,Mid-Low,Mid-Low,7,74,Financials,3888.64132,Values1112b,0.154536686,2010
Automotive,2010,CA,JERRY,LEWIS,41,JERRY LEWIS,R,78450,0.15919237,492800,1,127857,0.6321,Consumer Discretionary,,,,1,505673,0.974542837,Mid-Low,Mid-Low,3,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Hospitals/Nursing Homes,2010,CA,JERRY,LEWIS,41,JERRY LEWIS,R,28000,0.056818182,492800,1,127857,0.6321,Health Care,,,,1,505673,0.974542837,Mid-Low,Mid-Low,5,75,Health Care,3406.316132,Values1112b,0.400185967,2010
Air Transport,2010,CA,GARY,MILLER,42,GARY MILLER,R,21700,0.050132956,432849,1,127161,0.6221,Industrials,,,,1,432849,1,Mid-Low,Mid-Low,5,76,Industrials,3400.624114,Values1112b,0.16208888,2010
Telephone Utilities,2010,CA,GARY,MILLER,42,GARY MILLER,R,10000,0.023102745,432849,1,127161,0.6221,Telecommunication Services,,,,1,432849,1,Mid-Low,Mid-Low,8,79,Telecommunication Services,112.519055,Values1112b,0.080230721,2010
"Beer, Wine & Liquor",2010,CA,GARY,MILLER,42,GARY MILLER,R,19500,0.045050352,432849,1,127161,0.6221,Consumer Staples,,,,1,432849,1,Mid-Low,Mid-Low,6,72,Consumer Staples,1733.876594,Values1112b,0.299364514,2010
Automotive,2010,CA,GARY,MILLER,42,GARY MILLER,R,22800,0.052674258,432849,1,127161,0.6221,Consumer Discretionary,,,,1,432849,1,Mid-Low,Mid-Low,4,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Chemical & Related Manufacturing,2010,CA,GARY,MILLER,42,GARY MILLER,R,15000,0.034654117,432849,1,127161,0.6221,Materials,,,,1,432849,1,Mid-Low,Mid-Low,7,78,Materials,1588.156648,Values1112b,0.205756415,2010
Commercial Banks,2010,CA,GARY,MILLER,42,GARY MILLER,R,64900,0.149936814,432849,1,127161,0.6221,Financials,,,,1,432849,1,Mid-Low,Mid-Low,3,74,Financials,3888.64132,Values1112b,0.154536686,2010
Casinos/Gambling,2010,CA,JOE,BACA,43,JOE BACA,D,54600,0.123234708,443057,1,70026,0.655,Consumer Discretionary,,,,1,449807,0.984993564,Mid-Low,Mid-Low,3,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Agricultural Services/Products,2010,CA,SCOTT,FOLKENS,43,SCOTT FOLKENS,R,650,0.096296296,6750,0,36890,0.345,Consumer Staples,,,,0,449807,0.015006436,Very Low,Very Low,4,72,Consumer Staples,1733.876594,Values1112b,0.299364514,2010
Printing & Publishing,2010,CA,SCOTT,FOLKENS,43,SCOTT FOLKENS,R,1250,0.185185185,6750,0,36890,0.345,Consumer Discretionary,Industrials,,,0,449807,0.015006436,Very Low,Very Low,3,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Misc Business,2010,CA,SCOTT,FOLKENS,43,SCOTT FOLKENS,R,1700,0.251851852,6750,0,36890,0.345,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,449807,0.015006436,Very Low,Very Low,2,78,Materials,1588.156648,Values1112b,0.205756415,2010
Misc Services,2010,CA,JOE,BACA,43,JOE BACA,D,9736,0.021974599,443057,1,70026,0.655,Industrials,,,,1,449807,0.984993564,Mid-Low,Mid-Low,7,76,Industrials,3400.624114,Values1112b,0.16208888,2010
Agricultural Services/Products,2010,CA,JOE,BACA,43,JOE BACA,D,23600,0.053266284,443057,1,70026,0.655,Consumer Staples,,,,1,449807,0.984993564,Mid-Low,Mid-Low,5,72,Consumer Staples,1733.876594,Values1112b,0.299364514,2010
Telephone Utilities,2010,CA,JOE,BACA,43,JOE BACA,D,11250,0.025391767,443057,1,70026,0.655,Telecommunication Services,,,,1,449807,0.984993564,Mid-Low,Mid-Low,6,79,Telecommunication Services,112.519055,Values1112b,0.080230721,2010
Commercial Banks,2010,CA,JOE,BACA,43,JOE BACA,D,53600,0.120977662,443057,1,70026,0.655,Financials,,,,1,449807,0.984993564,Mid-Low,Mid-Low,4,74,Financials,3888.64132,Values1112b,0.154536686,2010
Pharmaceuticals/Health Products,2010,CA,KEN,CALVERT,44,KEN CALVERT,R,36950,0.036489719,1012614,1,107482,0.5561,Health Care,,,,1,1279375,0.791491158,Mid-High,Mid-Low,9,75,Health Care,3406.316132,Values1112b,0.400185967,2010
Building Materials & Equipment,2010,CA,KEN,CALVERT,44,KEN CALVERT,R,67098,0.066262169,1012614,1,107482,0.5561,Materials,Industrials,,,1,1279375,0.791491158,Mid-High,Mid-Low,6,78,Materials,1588.156648,Values1112b,0.205756415,2010
Electric Utilities,2010,CA,KEN,CALVERT,44,KEN CALVERT,R,37350,0.036884736,1012614,1,107482,0.5561,Utilities,,,,1,1279375,0.791491158,Mid-High,Mid-Low,8,80,Utilities,1065.691899,Values1112b,0.22673465,2010
Crop Production & Basic Processing,2010,CA,KEN,CALVERT,44,KEN CALVERT,R,38700,0.038217919,1012614,1,107482,0.5561,Consumer Staples,,,,1,1279375,0.791491158,Mid-High,Mid-Low,7,72,Consumer Staples,1733.876594,Values1112b,0.299364514,2010
Securities & Investment,2010,CA,BILL,HEDRICK,44,BILL HEDRICK,D,2400,0.008996817,266761,0,85784,0.4439,Financials,,,,0,1279375,0.208508842,Very Low,Mid-Low,4,74,Financials,3888.64132,Values1112b,0.154536686,2010
Printing & Publishing,2010,CA,BILL,HEDRICK,44,BILL HEDRICK,D,7800,0.029239656,266761,0,85784,0.4439,Consumer Discretionary,Industrials,,,0,1279375,0.208508842,Very Low,Mid-Low,3,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Casinos/Gambling,2010,CA,KEN,CALVERT,44,KEN CALVERT,R,82812,0.081780422,1012614,1,107482,0.5561,Consumer Discretionary,,,,1,1279375,0.791491158,Mid-High,Mid-Low,4,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Air Transport,2010,CA,KEN,CALVERT,44,KEN CALVERT,R,168246,0.166150182,1012614,1,107482,0.5561,Industrials,,,,1,1279375,0.791491158,Mid-High,Mid-Low,3,76,Industrials,3400.624114,Values1112b,0.16208888,2010
Insurance,2010,CA,KEN,CALVERT,44,KEN CALVERT,R,79850,0.078855319,1012614,1,107482,0.5561,Financials,,,,1,1279375,0.791491158,Mid-High,Mid-Low,5,74,Financials,3888.64132,Values1112b,0.154536686,2010
Misc Finance,2010,CA,STEPHEN,POUGNET,45,STEPHEN P POUGNET,D,75950,0.07549244,1006061,0,87141,0.4214,Financials,,,,0,2341151,0.429729223,Mid-High,Mid-Low,4,74,Financials,3888.64132,Values1112b,0.154536686,2010
Misc Energy,2010,CA,STEPHEN,POUGNET,45,STEPHEN P POUGNET,D,15750,0.015655114,1006061,0,87141,0.4214,Energy,,,,0,2341151,0.429729223,Mid-High,Mid-Low,6,73,Energy,1889.559322,Values1112b,-0.01942406,2010
Business Services,2010,CA,STEPHEN,POUGNET,45,STEPHEN P POUGNET,D,91056,0.090507434,1006061,0,87141,0.4214,Consumer Discretionary,Industrials,,,0,2341151,0.429729223,Mid-High,Mid-Low,3,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Automotive,2010,CA,MARY,MACK,45,MARY BONO MACK,R,274340,0.205484274,1335090,1,106472,0.5149,Consumer Discretionary,,,,1,2341151,0.570270777,High,Mid-Low,2,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Crop Production & Basic Processing,2010,CA,MARY,MACK,45,MARY BONO MACK,R,100700,0.075425627,1335090,1,106472,0.5149,Consumer Staples,,,,1,2341151,0.570270777,High,Mid-Low,5,72,Consumer Staples,1733.876594,Values1112b,0.299364514,2010
Construction Services,2010,CA,STEPHEN,POUGNET,45,STEPHEN P POUGNET,D,24400,0.024253003,1006061,0,87141,0.4214,Industrials,,,,0,2341151,0.429729223,Mid-High,Mid-Low,5,76,Industrials,3400.624114,Values1112b,0.16208888,2010
Insurance,2010,CA,MARY,MACK,45,MARY BONO MACK,R,140400,0.10516145,1335090,1,106472,0.5149,Financials,,,,1,2341151,0.570270777,High,Mid-Low,4,74,Financials,3888.64132,Values1112b,0.154536686,2010
Pharmaceuticals/Health Products,2010,CA,MARY,MACK,45,MARY BONO MACK,R,35750,0.026777221,1335090,1,106472,0.5149,Health Care,,,,1,2341151,0.570270777,High,Mid-Low,7,75,Health Care,3406.316132,Values1112b,0.400185967,2010
Electric Utilities,2010,CA,MARY,MACK,45,MARY BONO MACK,R,39000,0.029211514,1335090,1,106472,0.5149,Utilities,,,,1,2341151,0.570270777,High,Mid-Low,6,80,Utilities,1065.691899,Values1112b,0.22673465,2010
Misc Energy,2010,CA,DANA,ROHRABACHER,46,DANA ROHRABACHER,R,6000,0.023612007,254108,1,139822,0.622,Energy,,,,1,258283,0.98383556,Very Low,Mid-High,8,73,Energy,1889.559322,Values1112b,-0.01942406,2010
Pharmaceuticals/Health Products,2010,CA,DANA,ROHRABACHER,46,DANA ROHRABACHER,R,6450,0.025382908,254108,1,139822,0.622,Health Care,,,,1,258283,0.98383556,Very Low,Mid-High,7,75,Health Care,3406.316132,Values1112b,0.400185967,2010
Misc Finance,2010,CA,DANA,ROHRABACHER,46,DANA ROHRABACHER,R,11550,0.045453114,254108,1,139822,0.622,Financials,,,,1,258283,0.98383556,Very Low,Mid-High,5,74,Financials,3888.64132,Values1112b,0.154536686,2010
Air Transport,2010,CA,DANA,ROHRABACHER,46,DANA ROHRABACHER,R,18300,0.072016623,254108,1,139822,0.622,Industrials,,,,1,258283,0.98383556,Very Low,Mid-High,4,76,Industrials,3400.624114,Values1112b,0.16208888,2010
Automotive,2010,CA,DANA,ROHRABACHER,46,DANA ROHRABACHER,R,53600,0.210933934,254108,1,139822,0.622,Consumer Discretionary,,,,1,258283,0.98383556,Very Low,Mid-High,2,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Misc Business,2010,CA,DANA,ROHRABACHER,46,DANA ROHRABACHER,R,9600,0.037779212,254108,1,139822,0.622,Materials,Consumer Discretionary,Consumer Staples,Industrials,1,258283,0.98383556,Very Low,Mid-High,6,78,Materials,1588.156648,Values1112b,0.205756415,2010
Defense Aerospace,2010,CA,KENNETH,ARNOLD,46,KENNETH ARNOLD,D,750,0.179640719,4175,0,84940,0.3779,Industrials,,,,0,258283,0.01616444,Very Low,Mid-Low,2,76,Industrials,3400.624114,Values1112b,0.16208888,2010
Waste Management,2010,CA,VAN,TRAN,47,VAN TRAN,R,14400,0.022861751,629873,0,37679,0.3927,Industrials,,,,0,1877793,0.335432606,Mid-Low,Very Low,8,76,Industrials,3400.624114,Values1112b,0.16208888,2010
Computers/Internet,2010,CA,LORETTA,SANCHEZ,47,LORETTA SANCHEZ,D,75025,0.061646177,1217026,1,50832,0.5298,Consumer Discretionary,Information Technology,,,1,1877793,0.648115101,Mid-High,Very Low,3,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Business Services,2010,CA,VAN,TRAN,47,VAN TRAN,R,29000,0.046041027,629873,0,37679,0.3927,Consumer Discretionary,Industrials,,,0,1877793,0.335432606,Mid-Low,Very Low,4,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Misc Business,2010,CA,CECILIA,IGLESIAS,47,CECILIA PATRICIA IGLESIAS,I,5220,0.168964848,30894,0,7443,0.0776,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,1877793,0.016452293,Very Low,Very Low,3,78,Materials,1588.156648,Values1112b,0.205756415,2010
Oil & Gas,2010,CA,VAN,TRAN,47,VAN TRAN,R,16450,0.026116376,629873,0,37679,0.3927,Energy,,,,0,1877793,0.335432606,Mid-Low,Very Low,7,73,Energy,1889.559322,Values1112b,-0.01942406,2010
Air Transport,2010,CA,LORETTA,SANCHEZ,47,LORETTA SANCHEZ,D,26900,0.022103061,1217026,1,50832,0.5298,Industrials,,,,1,1877793,0.648115101,Mid-High,Very Low,5,76,Industrials,3400.624114,Values1112b,0.16208888,2010
Insurance,2010,CA,VAN,TRAN,47,VAN TRAN,R,87554,0.139002624,629873,0,37679,0.3927,Financials,,,,0,1877793,0.335432606,Mid-Low,Very Low,3,74,Financials,3888.64132,Values1112b,0.154536686,2010
Misc Business,2010,CA,VAN,TRAN,47,VAN TRAN,R,10050,0.015955597,629873,0,37679,0.3927,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,1877793,0.335432606,Mid-Low,Very Low,9,78,Materials,1588.156648,Values1112b,0.205756415,2010
Food & Beverage,2010,CA,VAN,TRAN,47,VAN TRAN,R,16850,0.026751424,629873,0,37679,0.3927,Consumer Staples,,,,0,1877793,0.335432606,Mid-Low,Very Low,6,72,Consumer Staples,1733.876594,Values1112b,0.299364514,2010
Pharmaceuticals/Health Products,2010,CA,VAN,TRAN,47,VAN TRAN,R,17300,0.027465854,629873,0,37679,0.3927,Health Care,,,,0,1877793,0.335432606,Mid-Low,Very Low,5,75,Health Care,3406.316132,Values1112b,0.400185967,2010
Pharmaceuticals/Health Products,2010,CA,LORETTA,SANCHEZ,47,LORETTA SANCHEZ,D,33000,0.027115279,1217026,1,50832,0.5298,Health Care,,,,1,1877793,0.648115101,Mid-High,Very Low,4,75,Health Care,3406.316132,Values1112b,0.400185967,2010
Automotive,2010,CA,CECILIA,IGLESIAS,47,CECILIA PATRICIA IGLESIAS,I,2600,0.084158736,30894,0,7443,0.0776,Consumer Discretionary,,,,0,1877793,0.016452293,Very Low,Very Low,4,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
Telephone Utilities,2010,CA,CECILIA,IGLESIAS,47,CECILIA PATRICIA IGLESIAS,I,500,0.016184372,30894,0,7443,0.0776,Telecommunication Services,,,,0,1877793,0.016452293,Very Low,Very Low,5,79,Telecommunication Services,112.519055,Values1112b,0.080230721,2010
Telephone Utilities,2010,CA,JOHN,CAMPBELL,48,JOHN CAMPBELL,R,10000,0.011789464,848215,1,145481,0.5994,Telecommunication Services,,,,1,1169690,0.725162222,Mid-Low,Mid-High,7,79,Telecommunication Services,112.519055,Values1112b,0.080230721,2010
Home Builders,2010,CA,JOHN,CAMPBELL,48,JOHN CAMPBELL,R,13000,0.015326303,848215,1,145481,0.5994,Industrials,,,,1,1169690,0.725162222,Mid-Low,Mid-High,6,76,Industrials,3400.624114,Values1112b,0.16208888,2010
Accountants,2010,CA,JOHN,CAMPBELL,48,JOHN CAMPBELL,R,327131,0.385669907,848215,1,145481,0.5994,Financials,,,,1,1169690,0.725162222,Mid-Low,Mid-High,1,74,Financials,3888.64132,Values1112b,0.154536686,2010
Misc Services,2010,CA,BETH,KROM,48,BETH KROM,D,4800,0.014931177,321475,0,88465,0.3645,Industrials,,,,0,1169690,0.274837778,Very Low,Mid-Low,5,76,Industrials,3400.624114,Values1112b,0.16208888,2010
Pharmaceuticals/Health Products,2010,CA,JOHN,CAMPBELL,48,JOHN CAMPBELL,R,39350,0.04639154,848215,1,145481,0.5994,Health Care,,,,1,1169690,0.725162222,Mid-Low,Mid-High,5,75,Health Care,3406.316132,Values1112b,0.400185967,2010
Automotive,2010,CA,JOHN,CAMPBELL,48,JOHN CAMPBELL,R,165332,0.194917562,848215,1,145481,0.5994,Consumer Discretionary,,,,1,1169690,0.725162222,Mid-Low,Mid-High,3,71,Consumer Discretionary,4848.226777,Values1112b,0.333343732,2010
