KEY,YEAR,STATE,FIRST,LAST,DISTRICT,CANDIDATE,PARTY,INDUSTRYPERCENT,CANDTOTAL,INCUMBENT,VOTES,PERCENT,WINNER,rank 1,rank 2,rank 3,rank 4,rank 5,AMOUNT of 1,AMOUNT of 2,AMOUNT of 3,AMOUNT of 4,AMOUNT of 5
CA|42|KEN|CALVERT|2014,2014,CA,KEN,CALVERT,42,KEN CALVERT,R,0.197232669,733053,1,70602,0.659,W,Industrials,Consumer Discretionary,Not publicly traded,Not for profit,Consumer Staples,181475,144582,124896,100350,43300
CA|42|TIM|SHERIDAN|2014,2014,CA,TIM,SHERIDAN,42,TIM SHERIDAN,D,0.004113308,72934,0,36575,0.341,L,Not for profit,Materials,Not publicly traded,Health Care,NULL,53900,17400,1334,300,0
CA|43|JOHN|WOOD|2014,2014,CA,JOHN,WOOD,43,JOHN WOOD JR,R,0.054347826,4600,0,25502,0.3,L,Not for profit,Materials,NULL,NULL,NULL,4350,250,0,0,0
CA|43|MAXINE|WATERS|2014,2014,CA,MAXINE,WATERS,43,MAXINE WATERS,D,0.022820294,679220,1,59591,0.7,W,Financials,Not for profit,Not publicly traded,Consumer Discretionary,Industrials,329430,158700,141240,15500,13000
CA|44|JANICE|HAHN|2014,2014,CA,JANICE,HAHN,44,JANICE HAHN,D,0.033870547,501911,1,51711,0.869,W,Not for profit,Industrials,Not publicly traded,Consumer Staples,Consumer Discretionary,235750,131000,78661,27500,17000
CA|45|DREW|LEAVENS|2014,2014,CA,DREW,LEAVENS,45,DREW LEAVENS,D,0.064655172,11600,0,55064,0.348,L,Not for profit,Industrials,Not publicly traded,NULL,NULL,10550,750,300,0,0
CA|45|MIMI|WALTERS|2014,2014,CA,MIMI,WALTERS,45,MIMI WALTERS,R,0.185803647,943200,0,103165,0.652,W,Not for profit,Financials,Not publicly traded,Consumer Discretionary,Energy,270350,181150,179850,175250,71550
CA|46|ADAM|NICK|2014,2014,CA,ADAM,NICK,46,ADAM NICK,R,1,250,0,32247,0.414,L,Not publicly traded,NULL,NULL,NULL,NULL,250,0,0,0,0
CA|46|LORETTA|SANCHEZ|2014,2014,CA,LORETTA,SANCHEZ,46,LORETTA SANCHEZ,D,0.063280279,728505,1,45694,0.586,W,Not for profit,Not publicly traded,Industrials,Consumer Discretionary,Health Care,287403,190869,155433,46100,24750
CA|47|ALAN|LOWENTHAL|2014,2014,CA,ALAN,LOWENTHAL,47,ALAN LOWENTHAL,D,0.060232595,503880,1,62544,0.552,W,Not for profit,Not publicly traded,Consumer Discretionary,Consumer Staples,Industrials,336630,65100,30350,27000,22600
CA|47|ANDREW|WHALLON|2014,2014,CA,ANDREW,WHALLON,47,ANDREW WHALLON,R,0.54620462,1212,0,50707,0.448,L,Not for profit,Not publicly traded,NULL,NULL,NULL,662,550,0,0,0
CA|48|DANA|ROHRABACHER|2014,2014,CA,DANA,ROHRABACHER,48,DANA ROHRABACHER,R,0.098507494,470015,1,108004,0.642,W,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Materials,151983,110600,70182,46300,26050
CA|48|SUE|SAVARY|2014,2014,CA,SUE,SAVARY,48,SUE SAVARY,D,0.780066633,45923,0,60164,0.358,L,Not for profit,Not publicly traded,NULL,NULL,NULL,35823,10100,0,0,0
CA|49|DARRELL|ISSA|2014,2014,CA,DARRELL,ISSA,49,DARRELL ISSA,R,0.164367794,1370092,1,94365,0.602,W,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Energy,499481,228750,225199,222702,79600
CA|49|DAVE|PEISER|2014,2014,CA,DAVE,PEISER,49,DAVE PEISER,D,0.076530612,19600,0,62313,0.398,L,Not for profit,Consumer Discretionary,Not publicly traded,Industrials,NULL,17550,1500,300,250,0
CA|50|DUNCAN|HUNTER|2014,2014,CA,DUNCAN,HUNTER,50,DUNCAN D HUNTER,R,0.06342402,843529,1,107835,0.714,W,Industrials,Not for profit,Not publicly traded,Consumer Staples,Consumer Discretionary,425965,121450,121114,54000,53500
CA|50|JAMES|KIMBER|2014,2014,CA,JAMES,KIMBER,50,JAMES KIMBER,D,0.106113033,26010,0,43299,0.286,L,Not for profit,Information Technology,Not publicly traded,NULL,NULL,22500,2760,750,0,0
CA|51|JUAN|VARGAS|2014,2014,CA,JUAN,VARGAS,51,JUAN VARGAS,D,0.086846761,556152,1,51644,0.688,W,Financials,Not for profit,Health Care,Consumer Discretionary,Not publicly traded,182102,127300,76200,48300,47150
CA|52|CARL|DEMAIO|2014,2014,CA,CARL,DEMAIO,52,CARL DEMAIO,R,0.074252443,1902631,0,92408,0.484,L,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Consumer Staples,646508,567514,325150,141275,71784
CA|52|SCOTT|PETERS|2014,2014,CA,SCOTT,PETERS,52,SCOTT PETERS,D,0.023481102,2106758,1,98332,0.516,W,Not for profit,Not publicly traded,Financials,Health Care,Information Technology,1167271,457270,176350,113100,90800
CA|53|LARRY|WILSKE|2014,2014,CA,LARRY,WILSKE,53,LARRY WILSKE,R,0.027235489,45896,0,58880,0.413,L,Not for profit,Not publicly traded,Financials,Other,Industrials,22871,13350,2800,2125,1500
CA|53|SUSAN|DAVIS|2014,2014,CA,SUSAN,DAVIS,53,SUSAN A DAVIS,D,0.074191547,362575,1,83686,0.587,W,Not for profit,Industrials,Not publicly traded,Information Technology,Health Care,123575,63750,36650,35200,27100
CO|1|DIANA|DEGETTE|2014,2014,CO,DIANA,DEGETTE,1,DIANA DEGETTE,D,0.062067395,733203,1,174756,0.657,W,Not for profit,Health Care,Not publicly traded,Telecommunication Services,Consumer Discretionary,338800,112949,77796,74000,45508
CO|1|MARTIN|WALSH|2014,2014,CO,MARTIN,WALSH,1,MARTIN H WALSH,R,0.213649852,3370,0,77551,0.292,L,Financials,Not for profit,Consumer Discretionary,Materials,Health Care,1150,750,720,500,250
CO|2|GEORGE|LEING|2014,2014,CO,GEORGE,LEING,2,GEORGE LEING,R,0.058044951,126626,0,147779,0.435,L,Not for profit,Not publicly traded,Consumer Staples,Energy,Consumer Discretionary,63826,15850,15500,9150,7350
CO|2|JARED|POLIS|2014,2014,CO,JARED,POLIS,2,JARED POLIS,D,0.146589404,502874,1,191733,0.565,W,Not for profit,Financials,Not publicly traded,Consumer Discretionary,Materials,168930,132250,81980,73716,17700
CO|3|ABEL|TAPIA|2014,2014,CO,ABEL,TAPIA,3,ABEL TAPIA,D,0.083861987,175288,0,98172,0.357,L,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Industrials,132688,15900,14700,3650,3600
CO|3|SCOTT|TIPTON|2014,2014,CO,SCOTT,TIPTON,3,SCOTT TIPTON,R,0.051435976,827242,1,159793,0.581,W,Not for profit,Not publicly traded,Energy,Consumer Staples,Financials,208500,182988,141188,75716,65300
CO|4|GRANT|DOHERTY|2014,2014,CO,GRANT,DOHERTY,4,GRANT DOHERTY,I,1,1000,0,7943,0.028,L,Not for profit,NULL,NULL,NULL,NULL,1000,0,0,0,0
CO|4|KENNETH|BUCK|2014,2014,CO,KENNETH,BUCK,4,KENNETH R BUCK,R,0.121810701,861788,0,183956,0.648,W,Not for profit,Energy,Not publicly traded,Consumer Discretionary,Financials,318248,129500,127965,104975,83000
CO|4|VIC|MEYERS|2014,2014,CO,VIC,MEYERS,4,VIC MEYERS,D,0.007568648,33031,0,82872,0.292,L,Not for profit,Not publicly traded,Consumer Staples,Financials,Consumer Discretionary,29354,1700,577,400,250
CO|5|DOUGLAS|LAMBORN|2014,2014,CO,DOUGLAS,LAMBORN,5,DOUGLAS L LAMBORN,R,0.032707187,382179,1,156749,0.598,W,Not for profit,Industrials,Energy,Not publicly traded,Materials,103679,81500,56000,33000,30000
CO|5|IRVING|HALTER|2014,2014,CO,IRVING,HALTER,5,IRVING HALTER JR,D,0.070945984,443295,0,105373,0.402,L,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Industrials,271268,91177,31450,27350,8700
CO|6|ANDREW|ROMANOFF|2014,2014,CO,ANDREW,ROMANOFF,6,ANDREW ROMANOFF,D,0.077196037,2363269,0,116621,0.429,L,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Health Care,1253219,544696,199400,182435,80950
CO|6|MIKE|COFFMAN|2014,2014,CO,MIKE,COFFMAN,6,MIKE COFFMAN,R,0.064059108,2791500,1,141221,0.52,W,Not for profit,Not publicly traded,Financials,Energy,Consumer Discretionary,1254109,428687,427272,392786,178821
CO|7|DON|YTTERBERG|2014,2014,CO,DON,YTTERBERG,7,DON YTTERBERG,R,0.101541251,110300,0,114480,0.451,L,Not for profit,Financials,Not publicly traded,Consumer Discretionary,Other,62000,12650,12050,11200,5200
CO|7|EDWIN|PERLMUTTER|2014,2014,CO,EDWIN,PERLMUTTER,7,EDWIN G PERLMUTTER,D,0.057392929,1346699,1,139166,0.549,W,Financials,Not for profit,Not publicly traded,Consumer Discretionary,Telecommunication Services,531739,329324,304495,77291,29750
CO|S|CORY|GARDNER|2014,2014,CO,CORY,GARDNER,S,CORY GARDNER,R,0.051427531,6588300,0,965974,0.485,W,Not for profit,Financials,Not publicly traded,Energy,Consumer Discretionary,2318269,1393038,1071786,836697,338820
CO|S|MARK|UDALL|2014,2014,CO,MARK,UDALL,S,MARK UDALL,D,0.059374413,10021556,1,916245,0.46,L,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Energy,4425401,2809294,1009923,595024,285950
CO|S|STEPHEN|SHOGAN|2014,2014,CO,STEPHEN,SHOGAN,S,STEPHEN H SHOGAN,I,0.122286998,65011,0,28604,0.014,L,Not for profit,Not publicly traded,Consumer Discretionary,Health Care,Financials,36861,13350,7950,2850,2000
CT|1|JOHN|LARSON|2014,2014,CT,JOHN,LARSON,1,JOHN B LARSON,D,0.088909974,1222585,1,135134,0.622,W,Financials,Not for profit,Not publicly traded,Health Care,Consumer Discretionary,447701,218300,196004,130600,108700
CT|1|MATTHEW|COREY|2014,2014,CT,MATTHEW,COREY,1,MATTHEW COREY,R,0.129032258,7750,0,78469,0.361,L,Financials,Not for profit,Consumer Staples,Information Technology,Not publicly traded,2250,2000,1000,1000,1000
CT|2|JOE|COURTNEY|2014,2014,CT,JOE,COURTNEY,2,JOE COURTNEY,D,0.025873474,871549,1,141069,0.623,W,Not for profit,Industrials,Not publicly traded,Financials,Health Care,370101,152400,123587,87550,54111
CT|2|LORI|CAVANAGH|2014,2014,CT,LORI,CAVANAGH,2,LORI HOPKINS CAVANAGH,R,0.208735747,16049,0,80692,0.356,L,Not for profit,Consumer Discretionary,Financials,Not publicly traded,Materials,7599,3350,3100,750,500
CT|3|JAMES|BROWN|2014,2014,CT,JAMES,BROWN,3,JAMES BROWN,R,0.504065041,6150,0,68443,0.329,L,Financials,Not for profit,Not publicly traded,NULL,NULL,3100,2800,250,0,0
CT|3|ROSA|DELAURO|2014,2014,CT,ROSA,DELAURO,3,ROSA L DELAURO,D,0.022809364,907522,1,139432,0.671,W,Not for profit,Not publicly traded,Health Care,Consumer Discretionary,Industrials,661917,133555,55000,20700,20500
CT|4|DAN|DEBICELLA|2014,2014,CT,DAN,DEBICELLA,4,DAN DEBICELLA,R,0.089234678,787250,0,92080,0.463,L,Financials,Not for profit,Consumer Discretionary,Not publicly traded,Industrials,372450,263700,70250,44700,18650
CT|4|JIM|HIMES|2014,2014,CT,JIM,HIMES,4,JIM HIMES,D,0.101881924,1858524,1,106690,0.537,W,Financials,Not for profit,Not publicly traded,Consumer Discretionary,Health Care,1001688,343750,275836,189350,47900
CT|5|ELIZABETH|ESTY|2014,2014,CT,ELIZABETH,ESTY,5,ELIZABETH ESTY,D,0.045171265,1775465,1,109819,0.53,W,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Industrials,1069534,298133,239800,80200,45498
CT|5|MARK|GREENBERG|2014,2014,CT,MARK,GREENBERG,5,MARK GREENBERG,R,0.097396691,225367,0,95319,0.46,L,Not publicly traded,Not for profit,Financials,Consumer Discretionary,Materials,97223,49700,30294,21950,18300
DE|1|JOHN|CARNEY|2014,2014,DE,JOHN,CARNEY,0,JOHN CARNEY,D,0.035698719,963620,1,137245,0.593,W,Financials,Not publicly traded,Not for profit,Health Care,Consumer Discretionary,546009,190719,72285,67998,34400
DE|1|ROSE|IZZO|2014,2014,DE,ROSE,IZZO,0,ROSE IZZO,R,0.505617978,4450,0,85142,0.368,L,Consumer Discretionary,Not for profit,Financials,NULL,NULL,2250,1400,800,0,0
DE|S|CHRIS|COONS|2014,2014,DE,CHRIS,COONS,S,CHRIS COONS,D,0.055436262,6007584,1,130645,0.558,W,Not publicly traded,Not for profit,Financials,Consumer Discretionary,Health Care,2402307,1467742,1106297,333038,258200
DE|S|KEVIN|WADE|2014,2014,DE,KEVIN,WADE,S,KEVIN WADE,R,0.179415519,28983,0,98819,0.422,L,Not for profit,Consumer Discretionary,Consumer Staples,NULL,NULL,23533,5200,250,0,0
FL|1|JEFF|MILLER|2014,2014,FL,JEFF,MILLER,1,JEFF MILLER,R,0.024680365,413284,1,164897,0.702,W,Industrials,Not for profit,Financials,Not publicly traded,Health Care,140600,100050,45050,44734,42400
FL|1|JIM|BRYAN|2014,2014,FL,JIM,BRYAN,1,JIM BRYAN,D,0.03804596,6571,0,54892,0.234,L,Not for profit,Health Care,Not publicly traded,Consumer Discretionary,NULL,2571,2500,1250,250,0
FL|1|MARK|WICHERN|2014,2014,FL,MARK,WICHERN,1,MARK WICHERN,I,0.27173913,1840,0,15257,0.065,L,Not for profit,Financials,Materials,NULL,NULL,1040,500,300,0,0
FL|2|GWEN|GRAHAM|2014,2014,FL,GWEN,GRAHAM,2,GWEN GRAHAM,D,0.023513716,2103198,0,125132,0.504,W,Not for profit,Not publicly traded,Financials,Consumer Discretionary,NULL,1315211,621134,117399,49454,0
FL|2|STEVE|SOUTHERLAND|2014,2014,FL,STEVE,SOUTHERLAND,2,STEVE SOUTHERLAND,R,0.02636999,1735268,1,122939,0.496,L,Not for profit,Financials,Not publicly traded,Consumer Staples,Industrials,862598,185122,185105,179302,105982
FL|3|MARIHELEN|WHEELER|2014,2014,FL,MARIHELEN,WHEELER,3,MARIHELEN WHEELER,D,0.069672131,29280,0,73695,0.323,L,Not for profit,Not publicly traded,Consumer Discretionary,Health Care,Information Technology,23440,2550,2040,1000,250
FL|3|TED|YOHO|2014,2014,FL,TED,YOHO,3,TED YOHO,R,0.054027024,391952,1,148483,0.65,W,Consumer Staples,Not for profit,Not publicly traded,Materials,Consumer Discretionary,122251,101884,84620,22598,21176
FL|4|ANDER|CRENSHAW|2014,2014,FL,ANDER,CRENSHAW,4,ANDER CRENSHAW,R,0.099801198,829970,1,177565,0.783,W,Industrials,Financials,Not publicly traded,Not for profit,Consumer Discretionary,254268,200600,148520,88250,82832
FL|4|PAULA|MOSERBARTLETT|2014,2014,FL,PAULA,MOSERBARTLETT,4,PAULA MOSERBARTLETT,I,0.045097862,11087,0,35549,0.157,L,Not for profit,Not publicly traded,Health Care,Financials,NULL,5050,5037,500,500,0
FL|5|CORRINE|BROWN|2014,2014,FL,CORRINE,BROWN,5,CORRINE BROWN,D,0.052486911,382000,1,112092,0.655,W,Not for profit,Not publicly traded,Industrials,Consumer Discretionary,Materials,112300,95750,91700,20050,19200
FL|5|GLO|SMITH|2014,2014,FL,GLO,SMITH,5,GLO SMITH,R,0.021575904,57935,0,59152,0.345,L,Not for profit,Materials,Financials,Not publicly traded,Industrials,39435,6500,6000,2750,1750
FL|6|DAVID|COX|2014,2014,FL,DAVID,COX,6,DAVID COX,D,0.328947368,7600,0,99463,0.375,L,Not for profit,Financials,Not publicly traded,Health Care,NULL,3550,2500,1300,250,0
FL|6|RON|DESANTIS|2014,2014,FL,RON,DESANTIS,6,RON DESANTIS,R,0.19492214,687967,1,166101,0.625,W,Not for profit,Financials,Consumer Discretionary,Not publicly traded,Industrials,176775,158840,134100,108302,41550
FL|7|AL|KRULICK|2014,2014,FL,AL,KRULICK,7,AL KRULICK,I,0.64516129,7750,0,9666,0.043,L,Consumer Discretionary,Not for profit,NULL,NULL,NULL,5000,2750,0,0,0
FL|7|JOHN|MICA|2014,2014,FL,JOHN,MICA,7,JOHN L MICA,R,0.02360618,521050,1,144370,0.636,W,Industrials,Not publicly traded,Not for profit,Consumer Staples,Energy,226550,88600,64650,46500,33500
FL|7|WES|NEUMAN|2014,2014,FL,WES,NEUMAN,7,WES NEUMAN,D,0.032812705,7619,0,72925,0.321,L,Not for profit,Other,Information Technology,NULL,NULL,6700,669,250,0,0
FL|8|BILL|POSEY|2014,2014,FL,BILL,POSEY,8,BILL POSEY,R,0.102505923,698984,1,180541,0.659,W,Financials,Not for profit,Industrials,Not publicly traded,Consumer Discretionary,181330,172042,106200,90200,71650
FL|8|GABRIEL|ROTHBLATT|2014,2014,FL,GABRIEL,ROTHBLATT,8,GABRIEL ROTHBLATT,D,0.126145948,68175,0,93588,0.341,L,Not for profit,Health Care,Consumer Discretionary,Not publicly traded,Financials,37400,12800,8600,4100,2700
FL|9|ALAN|GRAYSON|2014,2014,FL,ALAN,GRAYSON,9,ALAN GRAYSON,D,0.019070209,550597,1,93739,0.54,W,Not for profit,Not publicly traded,Financials,Information Technology,Materials,384490,73757,28150,15400,14800
FL|9|CAROL|PLATT|2014,2014,FL,CAROL,PLATT,9,CAROL PLATT,R,0.032969297,145590,0,74903,0.431,L,Not publicly traded,Not for profit,Consumer Staples,Other,Consumer Discretionary,57465,46425,23300,5100,4800
FL|9|MARKO|MILAKOVICH|2014,2014,FL,MARKO,MILAKOVICH,9,MARKO MILAKOVICH,I,1,20487,0,5051,0.029,L,Materials,NULL,NULL,NULL,NULL,20487,0,0,0,0
FL|10|DANIEL|WEBSTER|2014,2014,FL,DANIEL,WEBSTER,10,DANIEL WEBSTER,R,0.097716171,619048,1,142967,0.616,W,Not for profit,Not publicly traded,Consumer Staples,Industrials,Financials,176574,122433,85550,70650,65350
FL|10|MICHAEL|MCKENNA|2014,2014,FL,MICHAEL,MCKENNA,10,MICHAEL MCKENNA,D,1,4276,0,89267,0.384,L,Not for profit,NULL,NULL,NULL,NULL,4276,0,0,0,0
FL|11|DAVID|KOLLER|2014,2014,FL,DAVID,KOLLER,11,DAVID KOLLER,D,0.025723473,9330,0,90706,0.333,L,Not for profit,Not publicly traded,Information Technology,NULL,NULL,8840,250,240,0,0
FL|11|RICHARD|NUGENT|2014,2014,FL,RICHARD,NUGENT,11,RICHARD NUGENT,R,0.022355861,223655,1,181398,0.667,W,Not for profit,Industrials,Financials,Consumer Staples,Utilities,52200,35055,27750,22200,19500
FL|12|GUS|BILIRAKIS|2014,2014,FL,GUS,BILIRAKIS,12,GUS BILIRAKIS,R,0.119548539,716253,1,NA,NA,L,Not for profit,Health Care,Not publicly traded,Consumer Discretionary,Financials,195644,131300,101032,85627,58100
FL|13|DAVID|JOLLY|2014,2014,FL,DAVID,JOLLY,13,DAVID JOLLY,R,0.043692999,1294395,1,168092,0.753,W,Not for profit,Not publicly traded,Financials,Industrials,Consumer Discretionary,611991,252224,198049,86025,56556
FL|13|LUCAS|OVERBY|2014,2014,FL,LUCAS,OVERBY,13,LUCAS OVERBY,I,0.187805446,8594,0,55273,0.247,L,Not for profit,Consumer Discretionary,Materials,Financials,Information Technology,4200,1614,1250,1000,530
FL|14|KATHY|CASTOR|2014,2014,FL,KATHY,CASTOR,14,KATHY CASTOR,D,0.03653631,417393,1,NA,NA,L,Not for profit,Not publicly traded,Telecommunication Services,Consumer Staples,Financials,174250,70143,47500,35000,27250
FL|15|ALAN|COHN|2014,2014,FL,ALAN,COHN,15,ALAN COHN,D,0.069512745,270454,0,84620,0.397,L,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Consumer Staples,163374,62030,18800,11450,7700
FL|15|DENNIS|ROSS|2014,2014,FL,DENNIS,ROSS,15,DENNIS ROSS,R,0.043636303,964793,1,128533,0.603,W,Financials,Not publicly traded,Consumer Staples,Not for profit,Consumer Discretionary,459200,189209,96000,86114,42100
FL|16|HENRY|LAWRENCE|2014,2014,FL,HENRY,LAWRENCE,16,HENRY LAWRENCE,D,0.014534884,17200,0,105357,0.384,L,Not for profit,Consumer Staples,Industrials,Not publicly traded,Financials,14650,1000,500,500,300
FL|16|VERNON|BUCHANAN|2014,2014,FL,VERNON,BUCHANAN,16,VERNON BUCHANAN,R,0.082679101,1141159,1,168990,0.616,W,Not for profit,Financials,Not publicly traded,Consumer Staples,Health Care,412157,194200,161602,129500,121700
FL|17|BILL|BRONSON|2014,2014,FL,BILL,BRONSON,17,BILL BRONSON,D,0.17,10000,0,82126,0.368,L,Not for profit,Industrials,Information Technology,Not publicly traded,NULL,6800,1700,1000,500,0
FL|17|TOM|ROONEY|2014,2014,FL,TOM,ROONEY,17,TOM ROONEY,R,0.077608028,389135,1,141310,0.632,W,Financials,Consumer Staples,Not publicly traded,Industrials,Consumer Discretionary,85500,76631,70974,60500,30200
FL|18|CARL|DOMINO|2014,2014,FL,CARL,DOMINO,18,CARL DOMINO,R,0.09375,209600,0,101778,0.402,L,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Consumer Staples,104250,32950,31450,19650,9900
FL|18|PATRICK|MURPHY|2014,2014,FL,PATRICK,MURPHY,18,PATRICK MURPHY,D,0.031229491,2744201,1,151253,0.598,W,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Health Care,954426,851475,798000,85700,54600
FL|19|APRIL|FREEMAN|2014,2014,FL,APRIL,FREEMAN,19,APRIL FREEMAN,D,0.066636259,138123,0,80607,0.327,L,Not for profit,Consumer Discretionary,Not publicly traded,Materials,Consumer Staples,118150,9204,3799,3000,2000
FL|19|CURT|CLAWSON|2014,2014,FL,CURT,CLAWSON,19,CURT CLAWSON,R,0.082092144,460714,1,159038,0.646,W,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Materials,257284,79261,62200,37821,10950
FL|19|RAY|NETHERWOOD|2014,2014,FL,RAY,NETHERWOOD,19,RAY NETHERWOOD,I,1,12500,0,6650,0.027,L,Not for profit,NULL,NULL,NULL,NULL,12500,0,0,0,0
FL|20|ALCEE|HASTINGS|2014,2014,FL,ALCEE,HASTINGS,20,ALCEE L HASTINGS,D,0.050627725,512565,1,128217,0.816,W,Not for profit,Not publicly traded,Financials,Consumer Staples,Telecommunication Services,242005,102360,50700,43050,38000
FL|20|JAY|BONNER|2014,2014,FL,JAY,BONNER,20,JAY ALAN BONNER,R,0.228045737,17229,0,28900,0.184,L,Not for profit,Not publicly traded,Consumer Staples,Financials,NULL,6700,6350,3929,250,0
FL|21|TED|DEUTCH|2014,2014,FL,TED,DEUTCH,21,TED DEUTCH,D,0.154720284,767708,1,NA,NA,L,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Telecommunication Services,243888,191620,146420,118780,33500
FL|22|LOIS|FRANKEL|2014,2014,FL,LOIS,FRANKEL,22,LOIS J FRANKEL,D,0.083992595,770306,1,125071,0.58,W,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Consumer Staples,345850,172923,70500,64700,60463
FL|22|PAUL|SPAIN|2014,2014,FL,PAUL,SPAIN,22,PAUL SPAIN,R,0.080321285,12450,0,90452,0.42,L,Materials,Not publicly traded,Not for profit,Consumer Discretionary,Financials,4350,3750,2850,1000,500
FL|23|DEBBIE|SCHULTZ|2014,2014,FL,DEBBIE,SCHULTZ,23,DEBBIE WASSERMAN SCHULTZ,D,0.117593015,872926,1,103034,0.626,W,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Consumer Staples,308266,283666,105694,102650,37000
FL|23|JOE|KAUFMAN|2014,2014,FL,JOE,KAUFMAN,23,JOE KAUFMAN,R,0.10223754,199907,0,61428,0.374,L,Not for profit,Consumer Discretionary,Financials,Materials,Not publicly traded,153706,20438,7727,5155,4177
FL|24|DUFIRSTSON|NEREE|2014,2014,FL,DUFIRSTSON,NEREE,24,DUFIRSTSON NEREE,R,1,10440,0,15220,0.102,L,Not for profit,NULL,NULL,NULL,NULL,10440,0,0,0,0
FL|24|FREDERICA|WILSON|2014,2014,FL,FREDERICA,WILSON,24,FREDERICA WILSON,D,0.062781713,310600,1,129065,0.862,W,Not for profit,Not publicly traded,Financials,Consumer Staples,Industrials,170500,46100,31500,19500,15000
FL|25|MARIO|DIAZBALART|2014,2014,FL,MARIO,DIAZBALART,25,MARIO DIAZBALART,R,0.073720601,576501,1,NA,NA,L,Not for profit,Not publicly traded,Consumer Staples,Industrials,Financials,172282,138023,76096,75000,50100
FL|26|CARLOS|CURBELO|2014,2014,FL,CARLOS,CURBELO,26,CARLOS CURBELO,R,0.055581454,1478011,0,82780,0.515,W,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Materials,834671,377312,99378,82150,61450
FL|26|JOE|GARCIA|2014,2014,FL,JOE,GARCIA,26,JOE GARCIA,D,0.058020402,2068238,1,77958,0.485,L,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Health Care,954028,728410,120000,112600,51450
FL|27|ILEANA|ROSLEHTINEN|2014,2014,FL,ILEANA,ROSLEHTINEN,27,ILEANA ROSLEHTINEN,R,0.119758476,597870,1,NA,NA,L,Not for profit,Not publicly traded,Consumer Discretionary,Telecommunication Services,Financials,313450,124970,71600,30700,29650
GA|1|BRIAN|REESE|2014,2014,GA,BRIAN,REESE,1,BRIAN REESE,D,0.073051948,24640,0,59594,0.388,L,Not for profit,Materials,NULL,NULL,NULL,22840,1800,0,0,0
GA|1|BUDDY|CARTER|2014,2014,GA,BUDDY,CARTER,1,BUDDY CARTER,R,0.246987214,742751,0,93882,0.612,W,Not for profit,Consumer Discretionary,Not publicly traded,Financials,Health Care,251558,183450,85275,68718,61400
GA|2|GREG|DUKE|2014,2014,GA,GREG,DUKE,2,GREG DUKE,R,0.086956522,5750,0,66474,0.409,L,Not for profit,Not publicly traded,Consumer Staples,Financials,NULL,4400,650,500,200,0
GA|2|SANFORD|BISHOP|2014,2014,GA,SANFORD,BISHOP,2,SANFORD BISHOP,D,0.037629521,664372,1,96215,0.591,W,Not for profit,Consumer Staples,Not publicly traded,Financials,Materials,174800,158488,113684,84800,30500
GA|3|LYNN|WESTMORELAND|2014,2014,GA,LYNN,WESTMORELAND,3,LYNN A WESTMORELAND,R,0.0801921,664654,1,NA,NA,L,Financials,Not publicly traded,Consumer Staples,Not for profit,Consumer Discretionary,243550,114155,89900,87950,53300
GA|4|HANK|JOHNSON|2014,2014,GA,HANK,JOHNSON,4,HANK JOHNSON,D,0.071782928,438823,1,NA,NA,L,Not for profit,Not publicly traded,Consumer Staples,Financials,Consumer Discretionary,187500,55273,47350,44000,31500
GA|5|JOHN|LEWIS|2014,2014,GA,JOHN,LEWIS,5,JOHN LEWIS,D,0.087537047,1309160,1,NA,NA,L,NULL,Not publicly traded,Financials,NULL,NULL,0,234950,114600,0,0
GA|6|BOB|MONTIGEL|2014,2014,GA,BOB,MONTIGEL,6,BOB MONTIGEL,D,1,500,0,71140,0.339,L,Not for profit,NULL,NULL,NULL,NULL,500,0,0,0,0
GA|6|TOM|PRICE|2014,2014,GA,TOM,PRICE,6,TOM PRICE,R,0.055858069,1621968,1,138616,0.661,W,Not for profit,Financials,Health Care,Not publicly traded,Consumer Discretionary,578048,381450,259900,139445,90600
GA|7|ROB|WOODALL|2014,2014,GA,ROB,WOODALL,7,ROB WOODALL,R,0.1096623,332840,1,113260,0.655,W,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Consumer Staples,74100,70390,40000,36500,34200
GA|7|THOMAS|WIGHT|2014,2014,GA,THOMAS,WIGHT,7,THOMAS WIGHT,D,1,1000,0,59740,0.345,L,Not for profit,NULL,NULL,NULL,NULL,1000,0,0,0,0
